           0(  0 %)        1 hsa-let-7a-5p|MIMAT0000062
           0(  0 %)        2 hsa-let-7a-3p|MIMAT0004481
           5( 50 %)        3 hsa-let-7a-2-3p|MIMAT0010195
           0(  0 %)        4 hsa-let-7b-5p|MIMAT0000063
           0(  0 %)        5 hsa-let-7b-3p|MIMAT0004482
          10(100 %)        6 hsa-let-7c-5p|MIMAT0000064
           0(  0 %)        7 hsa-let-7d-5p|MIMAT0000065
          10(100 %)        8 hsa-let-7d-3p|MIMAT0004484
           0(  0 %)        9 hsa-let-7e-5p|MIMAT0000066
           0(  0 %)       10 hsa-let-7e-3p|MIMAT0004485
           0(  0 %)       11 hsa-let-7f-5p|MIMAT0000067
           0(  0 %)       12 hsa-let-7f-1-3p|MIMAT0004486
           0(  0 %)       13 hsa-let-7f-2-3p|MIMAT0004487
           0(  0 %)       14 hsa-miR-15a-5p|MIMAT0000068
           0(  0 %)       15 hsa-miR-16-5p|MIMAT0000069
           0(  0 %)       16 hsa-miR-16-1-3p|MIMAT0004489
           0(  0 %)       17 hsa-miR-17-5p|MIMAT0000070
           0(  0 %)       18 hsa-miR-17-3p|MIMAT0000071
           6( 60 %)       19 hsa-miR-18a-5p|MIMAT0000072
          10(100 %)       20 hsa-miR-18a-3p|MIMAT0002891
           7( 70 %)       21 hsa-miR-19a-3p|MIMAT0000073
           0(  0 %)       22 hsa-miR-19b-1-5p|MIMAT0004491
           0(  0 %)       23 hsa-miR-19b-3p|MIMAT0000074
           0(  0 %)       24 hsa-miR-20a-5p|MIMAT0000075
           0(  0 %)       25 hsa-miR-20a-3p|MIMAT0004493
           9( 90 %)       26 hsa-miR-21-5p|MIMAT0000076
           1( 10 %)       27 hsa-miR-21-3p|MIMAT0004494
           0(  0 %)       28 hsa-miR-22-5p|MIMAT0004495
           0(  0 %)       29 hsa-miR-22-3p|MIMAT0000077
           0(  0 %)       30 hsa-miR-23a-5p|MIMAT0004496
           0(  0 %)       31 hsa-miR-23a-3p|MIMAT0000078
           0(  0 %)       32 hsa-miR-24-1-5p|MIMAT0000079
           0(  0 %)       33 hsa-miR-24-3p|MIMAT0000080
           0(  0 %)       34 hsa-miR-24-2-5p|MIMAT0004497
           0(  0 %)       35 hsa-miR-25-3p|MIMAT0000081
           0(  0 %)       36 hsa-miR-26a-5p|MIMAT0000082
           6( 60 %)       37 hsa-miR-26a-1-3p|MIMAT0004499
           0(  0 %)       38 hsa-miR-26b-5p|MIMAT0000083
           0(  0 %)       39 hsa-miR-26b-3p|MIMAT0004500
          10(100 %)       40 hsa-miR-27a-5p|MIMAT0004501
           0(  0 %)       41 hsa-miR-27a-3p|MIMAT0000084
           0(  0 %)       42 hsa-miR-28-5p|MIMAT0000085
           8( 80 %)       43 hsa-miR-28-3p|MIMAT0004502
           0(  0 %)       44 hsa-miR-29a-5p|MIMAT0004503
           0(  0 %)       45 hsa-miR-29a-3p|MIMAT0000086
          10(100 %)       46 hsa-miR-30a-5p|MIMAT0000087
          10(100 %)       47 hsa-miR-30a-3p|MIMAT0000088
          10(100 %)       48 hsa-miR-31-5p|MIMAT0000089
           0(  0 %)       49 hsa-miR-31-3p|MIMAT0004504
           0(  0 %)       50 hsa-miR-32-5p|MIMAT0000090
           0(  0 %)       51 hsa-miR-32-3p|MIMAT0004505
          10(100 %)       52 hsa-miR-33a-5p|MIMAT0000091
           0(  0 %)       53 hsa-miR-33a-3p|MIMAT0004506
          10(100 %)       54 hsa-miR-92a-1-5p|MIMAT0004507
           0(  0 %)       55 hsa-miR-92a-3p|MIMAT0000092
           1( 10 %)       56 hsa-miR-93-5p|MIMAT0000093
           0(  0 %)       57 hsa-miR-93-3p|MIMAT0004509
          10(100 %)       58 hsa-miR-95-3p|MIMAT0000094
          10(100 %)       59 hsa-miR-96-5p|MIMAT0000095
           0(  0 %)       60 hsa-miR-98-5p|MIMAT0000096
           0(  0 %)       61 hsa-miR-99a-5p|MIMAT0000097
           0(  0 %)       62 hsa-miR-99a-3p|MIMAT0004511
           0(  0 %)       63 hsa-miR-100-5p|MIMAT0000098
           2( 20 %)       64 hsa-miR-101-5p|MIMAT0004513
           0(  0 %)       65 hsa-miR-101-3p|MIMAT0000099
           8( 80 %)       66 hsa-miR-29b-1-5p|MIMAT0004514
           1( 10 %)       67 hsa-miR-29b-3p|MIMAT0000100
          10(100 %)       68 hsa-miR-29b-2-5p|MIMAT0004515
           0(  0 %)       69 hsa-miR-103a-2-5p|MIMAT0009196
           0(  0 %)       70 hsa-miR-103a-3p|MIMAT0000101
          10(100 %)       71 hsa-miR-105-5p|MIMAT0000102
           9( 90 %)       72 hsa-miR-106a-5p|MIMAT0000103
           0(  0 %)       73 hsa-miR-107|MIMAT0000104
           0(  0 %)       74 hsa-miR-16-2-3p|MIMAT0004518
          10(100 %)       75 hsa-miR-192-5p|MIMAT0000222
          10(100 %)       76 hsa-miR-192-3p|MIMAT0004543
          10(100 %)       77 hsa-miR-196a-5p|MIMAT0000226
           7( 70 %)       78 hsa-miR-197-3p|MIMAT0000227
           0(  0 %)       79 hsa-miR-199a-5p|MIMAT0000231
           0(  0 %)       80 hsa-miR-199a-3p|MIMAT0000232
          10(100 %)       81 hsa-miR-129-5p|MIMAT0000242
           0(  0 %)       82 hsa-miR-148a-5p|MIMAT0004549
          10(100 %)       83 hsa-miR-148a-3p|MIMAT0000243
           0(  0 %)       84 hsa-miR-30c-5p|MIMAT0000244
          10(100 %)       85 hsa-miR-30c-2-3p|MIMAT0004550
          10(100 %)       86 hsa-miR-30d-5p|MIMAT0000245
           0(  0 %)       87 hsa-miR-30d-3p|MIMAT0004551
           0(  0 %)       88 hsa-miR-139-5p|MIMAT0000250
          10(100 %)       89 hsa-miR-139-3p|MIMAT0004552
          10(100 %)       90 hsa-miR-7-5p|MIMAT0000252
           1( 10 %)       91 hsa-miR-7-1-3p|MIMAT0004553
          10(100 %)       92 hsa-miR-10a-5p|MIMAT0000253
           9( 90 %)       93 hsa-miR-10a-3p|MIMAT0004555
          10(100 %)       94 hsa-miR-10b-5p|MIMAT0000254
          10(100 %)       95 hsa-miR-10b-3p|MIMAT0004556
          10(100 %)       96 hsa-miR-34a-5p|MIMAT0000255
           0(  0 %)       97 hsa-miR-34a-3p|MIMAT0004557
           0(  0 %)       98 hsa-miR-181a-5p|MIMAT0000256
          10(100 %)       99 hsa-miR-181a-2-3p|MIMAT0004558
           0(  0 %)      100 hsa-miR-181b-5p|MIMAT0000257
           0(  0 %)      101 hsa-miR-181c-5p|MIMAT0000258
          10(100 %)      102 hsa-miR-181c-3p|MIMAT0004559
           0(  0 %)      103 hsa-miR-182-5p|MIMAT0000259
          10(100 %)      104 hsa-miR-183-5p|MIMAT0000261
          10(100 %)      105 hsa-miR-187-3p|MIMAT0000262
          10(100 %)      106 hsa-miR-199b-5p|MIMAT0000263
           0(  0 %)      107 hsa-miR-199b-3p|MIMAT0004563
          10(100 %)      108 hsa-miR-203a-3p|MIMAT0000264
          10(100 %)      109 hsa-miR-204-5p|MIMAT0000265
          10(100 %)      110 hsa-miR-205-5p|MIMAT0000266
          10(100 %)      111 hsa-miR-210-3p|MIMAT0000267
           0(  0 %)      112 hsa-miR-212-3p|MIMAT0000269
          10(100 %)      113 hsa-miR-181a-3p|MIMAT0000270
           0(  0 %)      114 hsa-miR-214-5p|MIMAT0004564
           0(  0 %)      115 hsa-miR-214-3p|MIMAT0000271
          10(100 %)      116 hsa-miR-215-5p|MIMAT0000272
          10(100 %)      117 hsa-miR-217|MIMAT0000274
          10(100 %)      118 hsa-miR-218-5p|MIMAT0000275
           0(  0 %)      119 hsa-miR-218-1-3p|MIMAT0004565
          10(100 %)      120 hsa-miR-219a-5p|MIMAT0000276
           0(  0 %)      121 hsa-miR-219a-1-3p|MIMAT0004567
          10(100 %)      122 hsa-miR-221-5p|MIMAT0004568
           0(  0 %)      123 hsa-miR-221-3p|MIMAT0000278
          10(100 %)      124 hsa-miR-222-5p|MIMAT0004569
           0(  0 %)      125 hsa-miR-222-3p|MIMAT0000279
           0(  0 %)      126 hsa-miR-223-5p|MIMAT0004570
           0(  0 %)      127 hsa-miR-223-3p|MIMAT0000280
          10(100 %)      128 hsa-miR-224-5p|MIMAT0000281
           8( 80 %)      129 hsa-miR-224-3p|MIMAT0009198
           1( 10 %)      130 hsa-miR-200b-5p|MIMAT0004571
          10(100 %)      131 hsa-miR-200b-3p|MIMAT0000318
           0(  0 %)      132 hsa-let-7g-5p|MIMAT0000414
           0(  0 %)      133 hsa-let-7g-3p|MIMAT0004584
          10(100 %)      134 hsa-let-7i-5p|MIMAT0000415
           0(  0 %)      135 hsa-let-7i-3p|MIMAT0004585
           9( 90 %)      136 hsa-miR-1-3p|MIMAT0000416
          10(100 %)      137 hsa-miR-15b-5p|MIMAT0000417
           0(  0 %)      138 hsa-miR-15b-3p|MIMAT0004586
           0(  0 %)      139 hsa-miR-23b-5p|MIMAT0004587
           0(  0 %)      140 hsa-miR-23b-3p|MIMAT0000418
           0(  0 %)      141 hsa-miR-27b-5p|MIMAT0004588
          10(100 %)      142 hsa-miR-27b-3p|MIMAT0000419
           0(  0 %)      143 hsa-miR-30b-5p|MIMAT0000420
          10(100 %)      144 hsa-miR-30b-3p|MIMAT0004589
           0(  0 %)      145 hsa-miR-125b-5p|MIMAT0000423
           9( 90 %)      146 hsa-miR-125b-1-3p|MIMAT0004592
          10(100 %)      147 hsa-miR-128-3p|MIMAT0000424
           3( 30 %)      148 hsa-miR-130a-5p|MIMAT0004593
           7( 70 %)      149 hsa-miR-130a-3p|MIMAT0000425
           0(  0 %)      150 hsa-miR-132-5p|MIMAT0004594
           0(  0 %)      151 hsa-miR-132-3p|MIMAT0000426
          10(100 %)      152 hsa-miR-133a-3p|MIMAT0000427
          10(100 %)      153 hsa-miR-135a-5p|MIMAT0000428
          10(100 %)      154 hsa-miR-138-5p|MIMAT0000430
           9( 90 %)      155 hsa-miR-140-5p|MIMAT0000431
           0(  0 %)      156 hsa-miR-140-3p|MIMAT0004597
          10(100 %)      157 hsa-miR-141-5p|MIMAT0004598
          10(100 %)      158 hsa-miR-141-3p|MIMAT0000432
           0(  0 %)      159 hsa-miR-142-5p|MIMAT0000433
          10(100 %)      160 hsa-miR-142-3p|MIMAT0000434
           0(  0 %)      161 hsa-miR-143-5p|MIMAT0004599
           0(  0 %)      162 hsa-miR-143-3p|MIMAT0000435
           4( 40 %)      163 hsa-miR-144-5p|MIMAT0004600
           6( 60 %)      164 hsa-miR-144-3p|MIMAT0000436
           0(  0 %)      165 hsa-miR-145-5p|MIMAT0000437
           0(  0 %)      166 hsa-miR-145-3p|MIMAT0004601
           0(  0 %)      167 hsa-miR-152-3p|MIMAT0000438
          10(100 %)      168 hsa-miR-153-3p|MIMAT0000439
           0(  0 %)      169 hsa-miR-191-5p|MIMAT0000440
           0(  0 %)      170 hsa-miR-191-3p|MIMAT0001618
          10(100 %)      171 hsa-miR-9-5p|MIMAT0000441
           0(  0 %)      172 hsa-miR-9-3p|MIMAT0000442
          10(100 %)      173 hsa-miR-125a-5p|MIMAT0000443
           0(  0 %)      174 hsa-miR-125a-3p|MIMAT0004602
           0(  0 %)      175 hsa-miR-125b-2-3p|MIMAT0004603
          10(100 %)      176 hsa-miR-126-5p|MIMAT0000444
           0(  0 %)      177 hsa-miR-126-3p|MIMAT0000445
           0(  0 %)      178 hsa-miR-127-5p|MIMAT0004604
           0(  0 %)      179 hsa-miR-127-3p|MIMAT0000446
           0(  0 %)      180 hsa-miR-134-5p|MIMAT0000447
           1( 10 %)      181 hsa-miR-136-5p|MIMAT0000448
          10(100 %)      182 hsa-miR-136-3p|MIMAT0004606
          10(100 %)      183 hsa-miR-146a-5p|MIMAT0000449
          10(100 %)      184 hsa-miR-149-5p|MIMAT0000450
           0(  0 %)      185 hsa-miR-150-5p|MIMAT0000451
           0(  0 %)      186 hsa-miR-150-3p|MIMAT0004610
           0(  0 %)      187 hsa-miR-154-5p|MIMAT0000452
           0(  0 %)      188 hsa-miR-154-3p|MIMAT0000453
          10(100 %)      189 hsa-miR-184|MIMAT0000454
           1( 10 %)      190 hsa-miR-185-5p|MIMAT0000455
           0(  0 %)      191 hsa-miR-185-3p|MIMAT0004611
           0(  0 %)      192 hsa-miR-186-5p|MIMAT0000456
           0(  0 %)      193 hsa-miR-188-5p|MIMAT0000457
           0(  0 %)      194 hsa-miR-188-3p|MIMAT0004613
           8( 80 %)      195 hsa-miR-190a-5p|MIMAT0000458
          10(100 %)      196 hsa-miR-193a-5p|MIMAT0004614
           0(  0 %)      197 hsa-miR-193a-3p|MIMAT0000459
          10(100 %)      198 hsa-miR-194-5p|MIMAT0000460
           0(  0 %)      199 hsa-miR-195-5p|MIMAT0000461
           0(  0 %)      200 hsa-miR-195-3p|MIMAT0004615
           3( 30 %)      201 hsa-miR-320a|MIMAT0000510
          10(100 %)      202 hsa-miR-200c-3p|MIMAT0000617
