,AD,AD.1,AD.2,AD.3,AD.4,AD.5,AD.6,AD.7,AD.8,AD.9,AD.10,AD.11,AD.12,AD.13,AD.14,AD.15,AD.16,AD.17,AD.18,AD.19,AD.20,AD.21,AD.22,AD.23,AD.24,AD.25,AD.26,AD.27,AD.28,AD.29,AD.30,AD.31,AD.32,AD.33,control,control.1,control.2,control.3,control.4,control.5,control.6,control.7,control.8,control.9,control.10,control.11,control.12,control.13,control.14,control.15,control.16,control.17,control.18,control.19,control.20,control.21,AD.34,AD.35,AD.36,AD.37,AD.38,AD.39,AD.40,AD.41,AD.42,AD.43,AD.44,AD.45,AD.46,AD.47
hsa-mir-30a:hsa-miR-30a-3p,115,156,193,123,89,50,118,213,101,116,386,291,129,136,107,242,72,114,209,200,69,82,84,58,142,185,115,53,174,233,61,119,471,223,79,129,135,102,76,123,139,70,82,23,42,11,43,35,55,14,24,6,196,223,201,120,141,54,226,153,70,215,550,315,11,78,133,147,63,6
hsa-mir-550a-1:hsa-miR-550a-3p,241,931,415,355,576,198,506,522,297,337,830,518,422,403,124,505,91,289,901,795,162,351,149,130,284,661,842,161,1307,432,277,174,533,571,187,155,250,177,275,197,300,141,86,40,464,272,566,380,659,215,257,84,474,498,575,489,235,82,284,124,220,565,1655,1537,31,241,245,476,137,10
hsa-mir-29a:hsa-miR-29a-3p,29,91,42,39,45,17,19,52,30,42,240,363,109,167,18,83,13,26,247,316,25,88,15,12,25,91,42,10,102,250,19,32,111,91,92,38,198,69,87,41,56,60,36,41,61,35,168,82,117,92,42,9,108,115,196,194,30,8,58,64,79,85,670,432,5,30,74,49,10,0
hsa-mir-378e:hsa-miR-378e,1,2,2,0,0,1,0,0,3,0,2,23,5,14,0,0,0,0,2,9,0,1,0,0,0,3,0,0,1,22,0,0,0,5,2,1,10,1,1,1,6,2,1,1,0,1,14,2,2,2,1,0,1,0,1,6,0,0,8,3,0,0,24,9,0,1,9,1,0,0
hsa-mir-155:hsa-miR-155-5p,21,19,16,33,18,19,17,16,24,49,105,116,16,45,15,38,7,7,81,109,4,83,8,12,14,36,22,5,40,111,16,31,37,74,31,26,67,25,45,20,42,22,56,35,15,4,31,6,19,24,5,4,20,15,25,44,13,12,49,27,33,18,190,72,5,22,46,19,15,0
hsa-mir-628:hsa-miR-628-3p,2,0,1,2,1,0,0,0,2,0,26,24,10,14,4,8,3,1,19,10,4,19,1,6,7,8,12,3,9,23,8,3,10,5,9,7,9,4,7,8,16,4,7,4,5,4,14,4,9,5,3,7,15,8,24,11,1,2,2,2,1,2,6,8,0,2,4,3,6,1
hsa-mir-26a-2:hsa-miR-26a-5p,3646,5182,8409,7612,5446,2364,5536,7542,7113,6668,15272,12156,11141,11243,2697,9957,1141,2583,18432,20858,2133,16493,1478,2460,8532,17053,10094,2951,12450,16443,5193,7361,17182,13619,9812,5655,17767,7712,8578,5238,5132,3973,2039,1673,2356,1279,5902,2232,3917,957,1632,640,7654,9178,11138,8508,5128,2236,6882,6532,2745,9012,38094,26818,692,4877,7450,7028,3077,86
hsa-mir-106b:hsa-miR-106b-5p,33,140,31,13,50,47,22,20,114,36,185,718,101,237,11,60,14,5,195,478,7,390,3,4,15,27,37,9,30,794,15,10,47,98,162,78,334,79,142,49,104,43,29,12,87,6,189,55,79,20,39,20,102,129,206,437,26,4,170,228,48,39,798,338,2,41,232,41,13,2
hsa-mir-4781:hsa-miR-4781-3p,13,28,28,19,25,15,30,29,26,13,55,26,39,27,18,19,6,18,54,42,13,18,17,10,24,33,26,13,40,17,14,18,36,26,6,5,13,9,12,13,18,10,10,7,14,3,11,10,10,1,3,4,10,23,20,17,20,15,36,14,15,22,71,49,2,18,23,36,15,0
hsa-mir-204:hsa-miR-204-5p,9,4,8,5,1,1,5,3,5,2,4,7,2,7,0,1,0,0,7,33,2,22,3,0,1,1,11,2,3,8,3,0,3,2,2,13,3,7,4,16,4,1,3,4,4,4,0,0,0,6,5,2,2,1,13,11,0,0,12,5,7,2,30,102,1,4,6,1,4,0
hsa-mir-194-1:hsa-miR-194-5p,201,256,222,115,139,78,135,159,189,155,579,1494,401,321,65,190,39,68,691,825,40,272,26,21,77,142,163,31,241,1075,116,51,215,407,199,135,294,214,201,147,157,227,120,55,52,17,123,67,85,39,41,24,154,162,265,276,173,51,299,189,90,234,1429,1327,7,134,197,173,37,5
hsa-mir-320c-1:hsa-miR-320c,35,31,27,23,16,49,21,24,30,24,41,163,42,113,25,57,14,11,59,53,10,244,5,16,43,34,32,21,62,404,27,60,38,207,14,9,29,16,16,14,51,65,69,72,18,48,52,75,26,99,63,69,14,25,58,69,18,15,48,50,30,26,279,170,10,15,35,46,48,2
hsa-mir-10b:hsa-miR-10b-5p,337,896,1436,698,228,88,555,1556,418,678,2280,2409,1061,2214,491,884,264,456,1231,2223,284,230,336,316,277,539,483,154,968,2164,273,287,2024,1987,158,134,189,357,426,307,601,457,99,201,600,296,420,597,702,270,674,277,941,1518,752,193,458,105,1339,822,1074,864,5252,6083,41,1079,1216,863,115,4
hsa-mir-1260a:hsa-miR-1260a,645,466,548,476,1293,673,250,250,238,489,1739,422,574,1305,836,734,276,200,1197,894,182,849,625,648,3707,1988,817,755,1020,1164,2820,3352,2157,3350,244,208,279,395,249,146,1051,637,956,372,420,352,1084,380,646,711,502,206,438,453,850,1020,434,169,282,348,115,291,1612,1778,237,314,455,710,314,21
hsa-mir-215:hsa-miR-215,2612,6609,2668,1303,2020,1005,2099,2207,3504,1942,9987,6258,8911,5165,900,2690,1480,993,7347,12226,610,1847,574,343,698,1239,2051,296,2566,7045,1618,545,3557,4878,1792,1147,3428,2665,3007,2574,3670,3261,1331,615,8206,1140,3951,5972,5866,1193,4700,1582,9577,9281,12441,4935,2545,687,5935,4335,2405,2939,34375,35932,138,3134,5449,3409,529,109
