ID_REF	C11	C16	P11	P16	AA15	HD2	HD13	E4	L1	L8	C12	C17	P12	AA11	AA16	HD8	HD14	E5	L2	L10	C13	C18	P13	AA12	AA19	HD9	E1	E6	L3	L12	C14	P1	P14	AA13	AA20	HD11	E2	E7	L4	C15	P5	P15	AA14	HD1	HD12	E3	E8	L7
hsa-let-7a-4373169	-0.76497825	-0.91006275	-1.062537	0.870242	-2.19795875	-3.373969	0.31912075	-0.08788475	-4.921862	0.6713635	-1.28180875	-2.88962	-3.78598475	-3.88827225	-1.59432525	1.235796	0.638365	1.02373375	-9.6057515	-4.390003	-0.05891225	-1.35050175	2.0633865	-1.6632255	0.03180875	-2.3414095	-3.9039425	-0.64017825	-3.8118755	-4.02662375	-4.676619	1.07496725	-2.102601	-1.530107	-1.5539825	-1.1497445	-0.64908925	8.36149325	-2.979502	-1.4273725	-3.54255825	-1.642619	2.90723125	-3.8270195	-2.041412	-4.46925625	-0.69417625	-1.56724175
hsa-let-7c-4373167	3.74974475	2.48670625	3.281259	2.826297	6.53471525	0.737529	1.43391475	2.35077125	-0.648985	6.5340235	3.02683625	2.098608	0.63290625	3.86774975	-0.64800025	4.902971	3.430569	-1.98620525	-5.7599125	-1.164139	9.35101275	0.40028625	6.0012515	-0.1463555	3.21179375	1.0386515	0.4092945	-1.75845625	0.3733065	0.83070125	3.126016	4.76327625	2.379309	2.538949	1.4876855	2.6855885	-0.74497725	1.79147325	1.951458	2.9394045	2.41030175	2.996158	3.69724225	-1.7791695	-0.077312	0.57009875	2.26131575	0.61527225
hsa-let-7d-4395394	-1.13116225	-2.83756475	-2.465909	-2.243005	-2.54361575	-4.313655	-2.37497625	-1.88469775	-5.506066	2.6419265	-2.98821975	-3.580017	-4.97140775	-5.10563025	-2.86280025	-1.023955	-0.143581	-2.90343425	-11.8973085	-5.23502	-3.29167425	-2.86589375	0.1477965	-3.8295485	-1.80920425	-3.2414905	-4.6350305	-2.42014225	-4.6408445	-5.04858475	-3.200794	-0.09912375	-3.49829	-2.131492	-1.4269685	-2.1932975	-2.79950625	-0.19042375	-3.713982	-2.4815125	-4.69597825	-2.459563	-0.12038575	-5.4787885	-3.925205	-7.14795525	-2.29881725	-3.59192675
hsa-let-7e-4395517	-4.16610825	-3.76177275	-4.502711	-4.467343	-4.19436275	-5.994013	-4.51448525	-3.96218975	-7.376082	-0.4985235	-4.30903575	-4.78344	-5.90822375	-6.27201325	-4.85146825	-2.866354	-2.440906	-6.77337625	-13.1080875	-7.024913	-4.04344025	-5.15762675	-1.1332385	-5.2390575	-6.10033025	-4.3159425	-6.2079085	-4.71178225	-6.1833205	-6.66936975	-5.663243	-1.71926575	-5.367934	-4.289477	-3.7077515	-4.3312325	-4.25107725	-2.95327375	-5.09487	-3.9481985	-5.94584125	-4.078824	-2.51720875	-6.8086575	-5.24896	-7.18952125	-4.38775325	-5.66184675
hsa-let-7f-4373164	3.34441575	2.93273125	1.68085	9.771207	2.63672025	-0.318985	6.96592375	9.84896725	-0.370997	6.5340235	2.13683925	0.165314	0.46192225	6.38867675	0.64655975	-2.907166	4.645146	-1.41042125	1.0371875	-1.239249	1.33027775	2.88459225	4.4943235	1.1175145	5.28699675	6.6557725	0.2044075	9.56474775	0.2605785	-1.60460075	3.126016	7.25822325	-1.501065	3.989433	2.5153345	2.8891295	9.28703775	10.07919325	2.644228	1.9347475	0.81320575	2.574349	9.44062425	-2.9117855	2.283282	2.92556875	4.90865375	3.61760325
hsa-let-7g-4395393	-1.64854925	-2.18034275	-1.804678	-2.11041	-1.74600275	-3.225228	-1.83745925	-0.98227775	-4.74049	6.5340235	-2.78979475	-2.338781	-2.83875575	-2.73288325	-2.26361025	0.517824	-0.130993	-3.95732025	-10.2229295	-5.223444	-1.96317925	-2.38531275	3.1279485	-2.2656785	-1.65946625	-2.4892675	-2.5895185	-1.51611025	-3.5101805	-4.49090275	-3.130477	0.79725425	-2.668688	-2.183904	-1.3747025	-2.4836035	-1.96788725	-0.55117975	-3.045444	-2.0394485	-4.14849125	-0.568984	-0.02924575	-5.3276445	-3.357609	-5.27833625	-1.25140125	-3.36558375
hsa-miR-1-4395333	5.23465375	3.44487225	1.752174	3.159207	3.24796825	2.709089	9.84181675	9.84896725	0.29979	6.5340235	10.97731025	4.355605	0.74406125	6.38867675	-0.29764825	-4.277796	5.758161	0.94142675	1.0371875	-0.474381	3.51953275	9.28360625	13.9395215	-0.4253105	7.72246075	9.5368925	-0.4890205	1.37890875	3.0569715	2.41026825	3.126016	7.83280125	10.595712	11.496173	10.9223775	4.7148755	7.91654275	10.07919325	0.937502	4.2271145	1.72302175	6.006551	12.18208425	-1.2278445	-0.721069	2.92556875	10.96733375	2.61931625
hsa-miR-9-4373285	2.31787375	3.96010425	3.280197	2.403017	4.79439025	1.891415	4.17538875	1.58493725	0.813053	6.5340235	1.89222025	7.409026	0.39080925	-2.69523325	9.42103275	6.406156	12.749861	0.47761775	1.0371875	1.838939	3.76028975	9.28360625	7.2103015	2.2271445	9.42138075	0.9649895	3.1214815	2.40554775	0.6360915	1.04301925	3.126016	5.18990625	11.118009	8.024473	10.9223775	7.5989735	0.39277575	-0.51255375	3.596079	7.5833685	2.01061775	3.570506	4.25367425	-0.2882695	4.0767	-3.98472825	10.96733375	9.82012925
hsa-miR-10a-4373153	1.05890875	1.29115725	1.992347	-0.018773	2.86157425	0.145965	-0.09377925	-0.22049675	-1.949507	6.5340235	0.96958525	0.69992	0.86278825	0.15195675	0.87668675	3.669885	2.223194	1.47275675	-5.6141375	-1.223233	3.59405675	1.72654225	4.0822195	0.8785575	-0.14621425	-0.4392545	0.4423795	0.06489675	0.3273955	0.27892025	3.126016	4.92614625	0.462734	0.962525	1.8636075	1.6227375	-0.27445325	0.94229325	0.73683	0.9959735	3.79705175	1.687596	2.14533525	-0.6928675	0.146153	-0.08414725	1.37373975	0.58133525
hsa-miR-10b-4395329	4.71772275	6.57486125	6.879404	3.246537	2.35444825	3.296909	7.97878675	5.48160425	0.383346	6.5340235	5.34457825	4.30025	0.69392125	-1.92937925	3.68269075	8.734304	7.833971	4.81227375	-8.4558165	2.484989	8.79848975	5.47279625	5.9871915	1.4082225	6.50842875	7.9200555	4.7565635	2.46106775	5.9718255	7.92090925	-1.508254	7.87496825	2.307155	7.094779	5.0876775	7.2007215	4.12533775	4.89299825	5.345196	8.6750505	2.13997775	3.673732	10.01725425	3.5414385	5.774397	-4.93247125	5.69726875	8.97267125
