Gene	TCGA-BL-A0C8-01A-11R-A27D-13	TCGA-BL-A13I-01A-11R-A27D-13	TCGA-BL-A13J-01A-11R-A27D-13
hsa-let-7a-5p|MIMAT0000062	90652	46454	95715
hsa-let-7a-3p|MIMAT0004481	73	246	313
hsa-let-7a-2-3p|MIMAT0010195	4	171	62
hsa-let-7b-5p|MIMAT0000063	41354	22711	99212
hsa-let-7b-3p|MIMAT0004482	75	52	147
hsa-let-7c-5p|MIMAT0000064	738	766	7511
hsa-let-7d-5p|MIMAT0000065	703	542	1094
hsa-let-7d-3p|MIMAT0004484	2503	3504	2825
hsa-let-7e-5p|MIMAT0000066	6109	3146	2720
hsa-let-7e-3p|MIMAT0004485	62	69	50
hsa-let-7f-5p|MIMAT0000067	27156	14450	16721
hsa-let-7f-1-3p|MIMAT0004486	7	9	20
hsa-let-7f-2-3p|MIMAT0004487	NA	NA	4
hsa-miR-15a-5p|MIMAT0000068	1170	1239	472
hsa-miR-15a-3p|MIMAT0004488	NA	2	NA
hsa-miR-16-5p|MIMAT0000069	3362	1983	1020
hsa-miR-16-1-3p|MIMAT0004489	35	44	14
hsa-miR-17-5p|MIMAT0000070	3211	2655	4170
hsa-miR-17-3p|MIMAT0000071	1658	833	1774
hsa-miR-18a-5p|MIMAT0000072	85	61	147
hsa-miR-18a-3p|MIMAT0002891	5	14	8
hsa-miR-19a-5p|MIMAT0004490	NA	NA	NA
hsa-miR-19a-3p|MIMAT0000073	90	149	158
hsa-miR-19b-1-5p|MIMAT0004491	48	26	26
hsa-miR-19b-3p|MIMAT0000074	452	466	762
hsa-miR-19b-2-5p|MIMAT0004492	NA	NA	NA
hsa-miR-20a-5p|MIMAT0000075	2208	1277	2104
hsa-miR-20a-3p|MIMAT0004493	26	19	29
hsa-miR-21-5p|MIMAT0000076	379330	598846	1745772
hsa-miR-21-3p|MIMAT0004494	9691	28849	12316
hsa-miR-22-5p|MIMAT0004495	84	127	234
hsa-miR-22-3p|MIMAT0000077	395256	249686	565014
hsa-miR-23a-5p|MIMAT0004496	12	29	6
hsa-miR-23a-3p|MIMAT0000078	7262	23127	25860
hsa-miR-24-1-5p|MIMAT0000079	46	35	141
hsa-miR-24-3p|MIMAT0000080	3478	4323	12992
hsa-miR-24-2-5p|MIMAT0004497	86	99	259
hsa-miR-25-5p|MIMAT0004498	2	4	NA
hsa-miR-25-3p|MIMAT0000081	49036	26277	38571
hsa-miR-26a-5p|MIMAT0000082	2733	1730	5982
hsa-miR-26a-1-3p|MIMAT0004499	6	6	3
hsa-miR-26b-5p|MIMAT0000083	1192	1042	1885
hsa-miR-26b-3p|MIMAT0004500	133	123	143
hsa-miR-27a-5p|MIMAT0004501	33	110	37
hsa-miR-27a-3p|MIMAT0000084	2884	4449	10475
hsa-miR-28-5p|MIMAT0000085	316	278	638
hsa-miR-28-3p|MIMAT0004502	26919	13472	29751
hsa-miR-29a-5p|MIMAT0004503	9	26	38
hsa-miR-29a-3p|MIMAT0000086	5506	8538	23862
hsa-miR-30a-5p|MIMAT0000087	55352	23194	44956
hsa-miR-30a-3p|MIMAT0000088	13554	7803	10761
hsa-miR-31-5p|MIMAT0000089	85	2	680
hsa-miR-31-3p|MIMAT0004504	39	4	705
hsa-miR-32-5p|MIMAT0000090	46	73	79
hsa-miR-32-3p|MIMAT0004505	1	6	5
hsa-miR-33a-5p|MIMAT0000091	145	181	130
hsa-miR-33a-3p|MIMAT0004506	12	12	4
hsa-miR-92a-1-5p|MIMAT0004507	11	25	6
hsa-miR-92a-3p|MIMAT0000092	74488	37568	71638
hsa-miR-92a-2-5p|MIMAT0004508	NA	NA	NA
hsa-miR-93-5p|MIMAT0000093	59520	36771	71704
hsa-miR-93-3p|MIMAT0004509	76	101	119
hsa-miR-95-3p|MIMAT0000094	4	4	2
hsa-miR-96-5p|MIMAT0000095	174	20	349
hsa-miR-96-3p|MIMAT0004510	1	2	2
hsa-miR-98-5p|MIMAT0000096	155	178	307
hsa-miR-99a-5p|MIMAT0000097	147	196	1891
hsa-miR-99a-3p|MIMAT0004511	NA	3	17
hsa-miR-100-5p|MIMAT0000098	1702	7461	24504
hsa-miR-100-3p|MIMAT0004512	NA	8	NA
hsa-miR-101-5p|MIMAT0004513	29	13	49
hsa-miR-101-3p|MIMAT0000099	35343	12518	52405
hsa-miR-29b-1-5p|MIMAT0004514	14	68	20
hsa-miR-29b-3p|MIMAT0000100	1211	4416	4290
hsa-miR-29b-2-5p|MIMAT0004515	162	64	182
hsa-miR-103a-2-5p|MIMAT0009196	8	8	13
hsa-miR-103a-3p|MIMAT0000101	93038	75820	76735
hsa-miR-105-5p|MIMAT0000102	131	877	7
hsa-miR-105-3p|MIMAT0004516	NA	1	NA
hsa-miR-106a-5p|MIMAT0000103	71	34	63
hsa-miR-106a-3p|MIMAT0004517	NA	NA	NA
hsa-miR-107|MIMAT0000104	374	134	192
hsa-miR-16-2-3p|MIMAT0004518	53	78	45
hsa-miR-192-5p|MIMAT0000222	5899	854	5907
hsa-miR-192-3p|MIMAT0004543	20	3	24
hsa-miR-196a-5p|MIMAT0000226	55	38	572
