Gene	TCGA-A7-A0DB-01A-11R-A27D-13	TCGA-A7-A0DC-01B-04R-A22P-13	TCGA-A7-A13D-01A-13R-A27D-13	TCGA-A7-A13E-01A-11R-A27D-13	TCGA-A7-A13G-01B-04R-A22P-13	TCGA-A7-A26E-01A-11R-A27D-13	TCGA-A7-A26F-01B-04R-A22P-13	TCGA-A7-A26I-01B-06R-A22P-13	TCGA-A7-A26J-01A-11R-A27D-13	TCGA-AC-A2QH-01B-04R-A22P-13	TCGA-AC-A3OD-01B-06R-A22P-13	TCGA-AC-A3QQ-01B-06R-A22P-13
hsa-let-7a-5p|MIMAT0000062	314296	89106	122553	163638	200901	578866	152903	35325	254826	64395	193465	303340
hsa-let-7a-3p|MIMAT0004481	333	246	182	291	327	328	188	118	326	161	91	158
hsa-let-7a-2-3p|MIMAT0010195	60	13	57	29	31	134	29	18	51	78	10	20
hsa-let-7b-5p|MIMAT0000063	362332	65171	205354	143725	202441	590911	85504	25330	213384	20548	92432	205872
hsa-let-7b-3p|MIMAT0004482	375	148	139	246	468	542	199	88	343	37	140	288
hsa-let-7c-5p|MIMAT0000064	30313	1526	6839	22238	5416	66504	11984	4151	24715	8480	9458	17545
hsa-let-7d-5p|MIMAT0000065	875	356	1015	1116	624	1914	1006	429	1308	384	818	695
hsa-let-7d-3p|MIMAT0004484	2943	1635	2615	3035	1972	3405	2860	2215	3767	1696	3419	1958
hsa-let-7e-5p|MIMAT0000066	10201	3249	11771	7305	4553	14351	11048	2718	8744	5066	7772	9233
hsa-let-7e-3p|MIMAT0004485	91	97	105	43	100	214	122	84	109	181	51	62
hsa-let-7f-5p|MIMAT0000067	49633	14612	27384	33688	27932	73483	47383	12332	42606	12049	42482	54810
hsa-let-7f-1-3p|MIMAT0004486	12	8	8	20	14	26	12	9	14	3	6	10
hsa-let-7f-2-3p|MIMAT0004487	1	16	2	6	9	4	8	11	6	2	NA	3
hsa-miR-15a-5p|MIMAT0000068	1049	591	927	830	1042	1760	1874	478	1793	1057	1265	1441
hsa-miR-15a-3p|MIMAT0004488	2	NA	2	4	NA	NA	NA	NA	1	2	NA	NA
hsa-miR-16-5p|MIMAT0000069	2067	1798	1719	2185	2644	2610	3258	1605	2780	5089	2222	3034
hsa-miR-16-1-3p|MIMAT0004489	32	5	30	20	25	44	33	7	45	23	11	30
hsa-miR-17-5p|MIMAT0000070	2135	1758	3791	7876	791	2270	4435	1338	4616	7032	1956	1698
hsa-miR-17-3p|MIMAT0000071	1483	846	1981	6247	471	1891	2804	428	3309	1786	762	1546
hsa-miR-18a-5p|MIMAT0000072	27	55	131	141	43	17	202	77	63	284	35	46
hsa-miR-18a-3p|MIMAT0002891	3	6	22	31	2	3	50	16	7	47	5	3
hsa-miR-19a-5p|MIMAT0004490	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
hsa-miR-19a-3p|MIMAT0000073	83	204	168	149	90	86	344	149	130	315	66	115
hsa-miR-19b-1-5p|MIMAT0004491	33	27	54	115	20	52	52	11	73	45	28	61
hsa-miR-19b-3p|MIMAT0000074	512	1884	661	1110	857	375	1953	920	635	1981	504	909
hsa-miR-19b-2-5p|MIMAT0004492	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-20a-5p|MIMAT0000075	1429	1216	1978	4119	534	1794	2854	656	3405	2964	1239	1493
hsa-miR-20a-3p|MIMAT0004493	17	98	39	71	54	21	110	58	29	190	35	30
hsa-miR-21-5p|MIMAT0000076	1987844	723333	1528324	1206155	919691	3430440	2556270	918744	3441453	568307	756849	1485672
hsa-miR-21-3p|MIMAT0004494	9823	12502	16222	11566	12584	28788	19150	10272	37781	12970	6438	11670
hsa-miR-22-5p|MIMAT0004495	323	72	185	211	208	183	248	161	171	26	43	106
hsa-miR-22-3p|MIMAT0000077	861872	91985	478286	422015	204044	1184131	427552	166402	808833	65030	146499	214661
hsa-miR-23a-5p|MIMAT0004496	9	1	13	109	7	8	8	3	13	NA	12	3
hsa-miR-23a-3p|MIMAT0000078	23261	12182	24694	110698	20893	32721	38611	15499	24530	5423	10263	19818
hsa-miR-24-1-5p|MIMAT0000079	120	45	90	52	27	83	120	91	50	12	34	66
hsa-miR-24-3p|MIMAT0000080	8501	5951	11750	40461	5387	8856	18286	9503	5962	2985	3258	5234
hsa-miR-24-2-5p|MIMAT0004497	187	96	247	1095	152	221	327	177	169	43	67	132
hsa-miR-25-5p|MIMAT0004498	3	NA	4	1	NA	NA	2	2	1	1	1	4
hsa-miR-25-3p|MIMAT0000081	45748	33217	104913	53199	24921	94390	137227	42143	66882	75140	50821	88152
hsa-miR-26a-5p|MIMAT0000082	12060	14134	5737	8926	15838	16914	15773	6954	20579	7520	9478	19097
hsa-miR-26a-1-3p|MIMAT0004499	11	2	4	5	9	9	NA	1	8	11	2	6
hsa-miR-26b-5p|MIMAT0000083	4141	9663	2562	2302	14741	5202	5659	3997	2788	3322	4409	7840
hsa-miR-26b-3p|MIMAT0004500	282	108	112	163	228	320	100	89	216	134	129	93
hsa-miR-27a-5p|MIMAT0004501	28	36	46	189	47	102	35	19	58	14	29	35
hsa-miR-27a-3p|MIMAT0000084	7663	6925	12502	47576	8665	9871	15727	9203	9013	1893	2518	5279
hsa-miR-28-5p|MIMAT0000085	499	211	663	469	478	1000	493	467	617	510	368	434
hsa-miR-28-3p|MIMAT0004502	22435	11907	37067	20412	22352	66440	15551	20810	29682	27851	19617	22667
hsa-miR-29a-5p|MIMAT0004503	73	9	42	54	15	59	55	19	45	1	15	23
hsa-miR-29a-3p|MIMAT0000086	34612	21836	28339	23134	16353	30774	36679	16582	18798	2109	23126	26481
hsa-miR-30a-5p|MIMAT0000087	71993	662301	290154	408097	714867	576720	66512	31328	428642	32025	531644	442075
hsa-miR-30a-3p|MIMAT0000088	16315	154462	66089	87794	214290	143834	16305	11653	69658	8583	147733	114559
hsa-miR-31-5p|MIMAT0000089	22	1	21	2	21	35	206	21	15	10	15	14
hsa-miR-31-3p|MIMAT0004504	15	NA	27	2	17	14	201	17	15	7	6	6
hsa-miR-32-5p|MIMAT0000090	77	262	112	96	149	110	192	121	175	101	65	91
hsa-miR-32-3p|MIMAT0004505	9	3	2	5	7	7	8	4	14	8	3	3
hsa-miR-33a-5p|MIMAT0000091	43	75	114	170	133	38	196	47	75	252	20	68
hsa-miR-33a-3p|MIMAT0004506	7	10	8	16	3	9	18	7	8	11	3	10
hsa-miR-92a-1-5p|MIMAT0004507	3	5	4	22	3	14	6	3	19	19	19	5
hsa-miR-92a-3p|MIMAT0000092	41235	50007	71478	128630	29357	58419	114219	27402	73159	139296	98610	90041
hsa-miR-92a-2-5p|MIMAT0004508	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
hsa-miR-93-5p|MIMAT0000093	58578	21251	91408	92862	12270	103659	127153	31112	104615	35973	21216	29803
hsa-miR-93-3p|MIMAT0004509	96	59	148	222	54	102	344	112	95	219	58	51
hsa-miR-95-3p|MIMAT0000094	10	10	25	2	26	15	31	21	4	6	37	21
hsa-miR-96-5p|MIMAT0000095	436	122	291	417	209	450	719	522	208	32	493	119
hsa-miR-96-3p|MIMAT0004510	NA	2	NA	2	NA	1	3	3	1	NA	2	NA
hsa-miR-98-5p|MIMAT0000096	270	144	509	417	173	582	476	360	537	191	182	194
hsa-miR-99a-5p|MIMAT0000097	7935	1379	1266	3195	3850	18971	5309	3137	7593	4081	3784	8689
hsa-miR-99a-3p|MIMAT0004511	31	7	10	31	22	62	32	29	22	39	9	36
hsa-miR-100-5p|MIMAT0000098	26088	3712	24983	13757	6431	87817	10969	6156	26703	14175	11309	21077
hsa-miR-100-3p|MIMAT0004512	NA	NA	1	1	1	1	NA	NA	NA	4	NA	NA
hsa-miR-101-5p|MIMAT0004513	46	59	21	54	48	82	27	24	73	28	30	67
hsa-miR-101-3p|MIMAT0000099	127479	39996	30495	93874	42255	177581	38987	12120	201040	14240	34694	105218
hsa-miR-29b-1-5p|MIMAT0004514	28	6	18	38	11	71	22	10	14	1	31	18
hsa-miR-29b-3p|MIMAT0000100	3375	3969	1654	3041	6856	2576	3461	1259	2984	234	2065	2186
hsa-miR-29b-2-5p|MIMAT0004515	550	463	76	153	1062	622	141	96	735	20	331	248
hsa-miR-103a-2-5p|MIMAT0009196	21	7	12	15	9	10	9	3	11	19	5	6
hsa-miR-103a-3p|MIMAT0000101	205224	99248	131229	140306	62373	288774	76229	35722	391336	99861	97309	115960
hsa-miR-105-5p|MIMAT0000102	NA	1	202	1	1	4	18	1	NA	54	3	NA
hsa-miR-105-3p|MIMAT0004516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-106a-5p|MIMAT0000103	174	22	33	52	69	98	140	16	117	47	34	74
hsa-miR-106a-3p|MIMAT0004517	4	NA	NA	NA	5	1	NA	NA	1	NA	NA	NA
hsa-miR-107|MIMAT0000104	516	410	441	518	323	778	507	206	669	531	507	556
hsa-miR-16-2-3p|MIMAT0004518	38	24	33	45	43	18	38	22	36	130	14	31
hsa-miR-192-5p|MIMAT0000222	3054	604	2528	2397	2666	4717	1862	876	3165	1506	728	2908
hsa-miR-192-3p|MIMAT0004543	4	12	6	8	20	12	10	10	10	6	1	20
hsa-miR-196a-5p|MIMAT0000226	1551	126	2458	491	8200	7481	3599	564	16955	4242	941	288
hsa-miR-197-3p|MIMAT0000227	1779	2266	4886	1102	3107	1825	7387	6681	1824	13574	1929	2564
