Gene	TCGA-3X-AAV9-01A-72R-A41D-13	TCGA-3X-AAVA-01A-11R-A41D-13	TCGA-3X-AAVB-01A-31R-A41D-13	TCGA-3X-AAVC-01A-21R-A41D-13	TCGA-3X-AAVE-01A-11R-A41D-13	TCGA-4G-AAZO-01A-12R-A41D-13	TCGA-4G-AAZT-01A-11R-A41D-13	TCGA-W5-AA2G-01A-11R-A41D-13	TCGA-W5-AA2H-01A-31R-A41D-13	TCGA-W5-AA2I-01A-32R-A41D-13	TCGA-W5-AA2I-11A-11R-A41D-13	TCGA-W5-AA2O-01A-11R-A41D-13	TCGA-W5-AA2Q-01A-11R-A41D-13	TCGA-W5-AA2Q-11A-11R-A41D-13	TCGA-W5-AA2R-01A-11R-A41D-13	TCGA-W5-AA2R-11A-11R-A41D-13	TCGA-W5-AA2T-01A-12R-A41D-13	TCGA-W5-AA2U-01A-11R-A41D-13	TCGA-W5-AA2U-11A-11R-A41D-13	TCGA-W5-AA2W-01A-11R-A41D-13	TCGA-W5-AA2X-01A-11R-A41D-13	TCGA-W5-AA2X-11A-11R-A41D-13	TCGA-W5-AA2Z-01A-11R-A41D-13	TCGA-W5-AA30-01A-31R-A41D-13	TCGA-W5-AA30-11A-11R-A41D-13	TCGA-W5-AA31-01A-11R-A41D-13	TCGA-W5-AA31-11A-11R-A41D-13	TCGA-W5-AA33-01A-11R-A41D-13	TCGA-W5-AA34-01A-11R-A41D-13	TCGA-W5-AA34-11A-11R-A41D-13	TCGA-W5-AA36-01A-11R-A41D-13	TCGA-W5-AA38-01A-11R-A41D-13	TCGA-W5-AA39-01A-11R-A41D-13	TCGA-W6-AA0S-01A-11R-A41D-13	TCGA-WD-A7RX-01A-12R-A41D-13	TCGA-YR-A95A-01A-12R-A41D-13	TCGA-ZD-A8I3-01A-11R-A41D-13	TCGA-ZH-A8Y1-01A-11R-A41D-13	TCGA-ZH-A8Y2-01A-11R-A41D-13	TCGA-ZH-A8Y4-01A-11R-A41D-13	TCGA-ZH-A8Y5-01A-11R-A41D-13	TCGA-ZH-A8Y6-01A-11R-A41D-13	TCGA-ZH-A8Y8-01A-51R-A41D-13	TCGA-ZU-A8S4-01A-11R-A41D-13	TCGA-ZU-A8S4-11A-11R-A41D-13
hsa-let-7a-5p|MIMAT0000062	165141	132094	210259	84663	117897	119279	178819	51773	92436	245405	39096	30453	155478	175457	102523	120180	258904	89063	80166	233510	88058	99179	175698	83670	116030	90261	69174	102537	97921	55132	94400	116800	55905	104248	112422	162855	83765	195794	141804	101363	214136	103284	252122	136203	193671
hsa-let-7a-3p|MIMAT0004481	204	169	298	127	149	226	274	81	114	217	74	27	296	168	179	113	211	115	129	147	94	267	172	259	178	98	86	147	89	122	171	113	115	122	236	104	168	285	195	117	254	116	158	133	181
hsa-let-7a-2-3p|MIMAT0010195	30	26	50	1	39	32	59	15	16	60	30	5	25	33	50	47	9	46	19	13	19	39	74	44	29	18	29	48	4	47	15	6	22	23	44	44	51	28	21	14	65	33	15	262	41
hsa-let-7b-5p|MIMAT0000063	63905	38917	138022	55663	101547	117116	131588	31058	51618	144386	21828	16773	205042	85278	45723	57266	166575	36263	44711	166417	87858	54188	71180	41478	65450	38788	32706	79000	43511	28522	39969	75101	26750	39592	47694	114376	75256	222196	164757	61217	261861	20502	105570	97402	82569
hsa-let-7b-3p|MIMAT0004482	50	60	138	65	125	99	154	43	56	94	55	21	248	101	70	82	210	96	78	109	62	102	84	88	143	52	84	107	56	86	62	64	67	48	72	78	110	205	230	72	213	22	90	101	141
hsa-let-7c-5p|MIMAT0000064	14248	3715	10993	919	5188	3019	11500	5076	6326	10030	9561	1370	5733	35279	6538	30968	3896	5401	23773	3526	2455	20787	12629	4507	28331	4736	16811	6749	5649	14039	2990	2126	3838	3358	8382	11663	4296	15046	6810	4399	4144	4224	10087	6180	42319
hsa-let-7d-5p|MIMAT0000065	453	742	728	720	644	521	1594	367	858	1209	239	210	809	719	622	466	2040	911	345	982	695	558	603	587	635	574	361	540	556	376	832	628	294	504	550	1036	755	963	891	584	1529	248	779	511	711
hsa-let-7d-3p|MIMAT0004484	850	1958	1731	2170	1811	899	2236	1154	949	1425	700	402	2136	1467	1434	1955	2924	1984	1130	1363	1378	1283	1179	1507	2264	1747	1334	749	1128	1497	1774	1106	1093	1436	1155	1194	1590	1528	3478	1029	2899	391	978	1227	2062
hsa-let-7e-5p|MIMAT0000066	9139	6898	7253	6209	2879	4951	6831	4410	2087	11678	896	787	3648	3553	2811	1822	15560	7510	1570	4839	3213	2444	6892	3615	2546	9553	1168	1793	7446	1161	5734	5905	1009	3882	4873	8865	5290	7988	5742	4304	8086	3766	14608	4325	3969
hsa-let-7e-3p|MIMAT0004485	69	32	53	48	29	48	102	38	25	49	12	3	48	41	19	35	66	43	31	18	20	23	61	36	50	44	21	31	44	19	28	15	16	29	41	36	72	93	60	30	96	12	50	24	35
