Gene	TCGA-FA-8693-01A-11R-2401-13	TCGA-FA-A4BB-01A-11R-A31S-13	TCGA-FA-A4XK-01A-11R-A31S-13	TCGA-FA-A6HN-01A-11R-A31S-13	TCGA-FA-A6HO-01A-11R-A31S-13	TCGA-FA-A7DS-01A-11R-A38N-13	TCGA-FA-A7Q1-01A-11R-A38N-13	TCGA-FA-A82F-01A-11R-A38N-13	TCGA-FA-A86F-01A-11R-A38N-13	TCGA-FF-8041-01A-11R-2212-13	TCGA-FF-8042-01A-11R-2212-13	TCGA-FF-8043-01A-11R-2212-13	TCGA-FF-8046-01A-11R-2212-13	TCGA-FF-8047-01A-11R-2212-13	TCGA-FF-8061-01A-11R-2212-13	TCGA-FF-8062-01A-11R-2212-13	TCGA-FF-A7CQ-01A-11R-A38N-13	TCGA-FF-A7CR-01A-11R-A38N-13	TCGA-FF-A7CW-01A-11R-A38N-13	TCGA-FF-A7CX-01A-12R-A38N-13	TCGA-FM-8000-01A-11R-2212-13	TCGA-G8-6324-01A-11R-2212-13	TCGA-G8-6325-01A-11R-2212-13	TCGA-G8-6326-01A-11R-2212-13	TCGA-G8-6906-01A-11R-2212-13	TCGA-G8-6907-01A-11R-2212-13	TCGA-G8-6909-01A-11R-2212-13	TCGA-G8-6914-01A-11R-2212-13	TCGA-GR-7353-01A-11R-2212-13	TCGA-GR-A4D4-01A-11R-A31S-13	TCGA-GR-A4D5-01A-11R-A31S-13	TCGA-GR-A4D6-01A-11R-A31S-13	TCGA-GR-A4D9-01B-11R-A31S-13	TCGA-GS-A9TQ-01A-11R-A38N-13	TCGA-GS-A9TT-01A-11R-A38N-13	TCGA-GS-A9TU-01A-11R-A38N-13	TCGA-GS-A9TV-01A-11R-A38N-13	TCGA-GS-A9TW-01A-11R-A38N-13	TCGA-GS-A9TX-01A-11R-A38N-13	TCGA-GS-A9TY-01A-11R-A39J-13	TCGA-GS-A9TZ-01A-11R-A39J-13	TCGA-GS-A9U3-01A-11R-A39J-13	TCGA-GS-A9U4-01A-11R-A39J-13	TCGA-RQ-A68N-01A-11R-A31S-13	TCGA-RQ-A6JB-01A-11R-A31S-13	TCGA-RQ-AAAT-01A-11R-A39J-13	TCGA-VB-A8QN-01A-11R-A38N-13
hsa-let-7a-5p|MIMAT0000062	68839	93049	65195	119407	179663	103300	176380	446128	150020	114091	76494	104596	70397	93580	79818	121458	79627	273618	110013	154166	67569	143496	86421	112977	97983	119655	42432	70754	81466	115894	241346	247314	69359	65534	158155	252496	103286	63432	308610	44133	48000	84602	34163	72998	101654	75530	73723
hsa-let-7a-3p|MIMAT0004481	60	75	80	96	74	93	178	275	160	92	112	118	65	126	70	167	56	244	154	447	122	207	98	233	139	68	38	80	48	75	60	90	30	214	201	142	77	69	199	45	43	121	94	40	97	97	215
hsa-let-7a-2-3p|MIMAT0010195	24	26	14	15	8	2	45	50	18	46	4	77	14	18	39	68	3	19	6	28	20	8	50	16	17	23	24	13	33	50	20	20	11	17	8	41	14	6	21	13	15	17	NA	37	31	8	8
hsa-let-7b-5p|MIMAT0000063	39577	21017	13286	29458	17544	27170	24367	130967	41341	35328	16754	24727	23729	17417	26176	47156	10590	62723	22368	26011	13412	91468	29283	51685	27509	33011	24773	15786	23942	31304	38422	32427	9617	11341	25985	69667	19957	7770	46057	11194	14495	21722	13770	10563	28335	27127	66439
hsa-let-7b-3p|MIMAT0004482	62	29	9	40	17	37	38	140	46	58	21	57	19	19	45	53	11	78	22	47	24	64	56	62	35	32	34	28	30	38	24	17	10	24	25	69	27	23	35	10	17	29	27	29	51	24	51
hsa-let-7c-5p|MIMAT0000064	1939	1294	820	1899	1741	1496	2677	24004	1697	674	523	1377	2081	821	1327	4553	503	1872	1223	1880	1648	1277	693	2393	281	949	449	1778	1090	1922	3051	2667	1299	248	631	2328	859	308	1265	226	287	775	606	1467	2774	4648	2142
hsa-let-7d-5p|MIMAT0000065	869	609	453	1107	545	1248	1937	2039	1314	553	762	2071	373	822	967	944	573	2104	1014	2459	567	1129	898	1411	1064	1739	975	521	483	1048	913	1424	320	738	757	1731	584	320	2004	281	330	847	618	664	1485	317	726
hsa-let-7d-3p|MIMAT0004484	1375	753	969	1182	1110	1326	3095	2953	1607	1411	2082	3245	608	2038	1973	1814	600	3459	1566	4208	2498	1496	2296	1995	1990	4033	1085	980	1600	2687	1665	2036	594	1899	1945	2832	1024	369	2517	550	547	1764	604	653	1365	678	1425
hsa-let-7e-5p|MIMAT0000066	3117	6193	4018	3355	3933	919	2437	18016	3873	3943	2116	2037	1584	783	1298	3197	653	5317	1437	2345	1873	2214	2615	3305	2288	1405	1176	1495	2682	4421	13377	6780	2024	735	2836	4942	2006	2169	5048	1171	1089	2160	1141	2092	2778	2620	1562
hsa-let-7e-3p|MIMAT0004485	14	27	12	18	4	NA	13	38	18	19	18	17	8	4	11	53	2	6	5	46	7	22	15	38	23	17	9	15	22	30	11	16	7	6	5	25	8	6	16	10	4	12	10	18	15	16	17
