Gene	TCGA-44-6146-01A-11H-A279-13	TCGA-44-6147-01A-11H-A279-13	TCGA-44-6775-01A-11H-A279-13	TCGA-A6-5656-01A-21H-A279-13	TCGA-A6-6650-01A-11H-A279-13	TCGA-A6-6780-01A-11H-A279-13	TCGA-A6-6781-01A-22H-A279-13	TCGA-A7-A0DB-01A-11R-A27D-13	TCGA-A7-A13D-01A-13R-A27D-13	TCGA-A7-A13E-01A-11R-A27D-13	TCGA-A7-A26E-01A-11R-A27D-13	TCGA-A7-A26J-01A-11R-A27D-13	TCGA-B2-3923-01A-02R-A27D-13	TCGA-B2-3924-01A-02R-A27D-13	TCGA-B2-5633-01A-01R-A27D-13	TCGA-B2-5635-01A-01R-A27D-13	TCGA-BK-A0CA-01A-21R-A27D-13	TCGA-BK-A0CC-01A-21R-A27D-13	TCGA-BK-A139-01A-11R-A27D-13	TCGA-BK-A26L-01A-11R-A27D-13	TCGA-BL-A0C8-01A-11R-A27D-13	TCGA-BL-A13I-01A-11R-A27D-13	TCGA-BL-A13J-01A-11R-A27D-13
hsa-let-7a-5p|MIMAT0000062	181905	217860	336803	31850	72105	37907	66219	314296	122553	163638	578866	254826	112607	445308	185625	526997	236600	57312	35818	115257	90652	46454	95715
hsa-let-7a-3p|MIMAT0004481	30	97	263	21	64	77	113	333	182	291	328	326	113	159	54	161	564	202	57	247	73	246	313
hsa-let-7a-2-3p|MIMAT0010195	12	96	77	36	6	2	70	60	57	29	134	51	3	47	8	35	36	40	14	33	4	171	62
hsa-let-7b-5p|MIMAT0000063	343681	217404	224223	44635	33106	15604	99497	362332	205354	143725	590911	213384	64533	221684	184914	229337	176365	33768	26933	62707	41354	22711	99212
hsa-let-7b-3p|MIMAT0004482	149	246	273	116	72	31	133	375	139	246	542	343	127	281	203	300	203	74	57	105	75	52	147
hsa-let-7c-5p|MIMAT0000064	6583	34133	19195	1905	628	266	1611	30313	6839	22238	66504	24715	8383	33192	36597	50623	32138	3901	1346	9072	738	766	7511
hsa-let-7d-5p|MIMAT0000065	1497	1556	1630	458	777	385	860	875	1015	1116	1914	1308	701	2083	889	2145	1475	418	772	409	703	542	1094
hsa-let-7d-3p|MIMAT0004484	4783	5148	5112	4659	5586	2453	4763	2943	2615	3035	3405	3767	1573	3716	3026	3863	5817	1057	1905	1586	2503	3504	2825
hsa-let-7e-5p|MIMAT0000066	10122	16364	21250	2543	3403	1416	4994	10201	11771	7305	14351	8744	4834	10492	12215	21451	8569	13099	3397	13571	6109	3146	2720
hsa-let-7e-3p|MIMAT0004485	60	155	85	55	14	3	53	91	105	43	214	109	51	55	85	108	108	238	45	105	62	69	50
hsa-let-7f-5p|MIMAT0000067	25709	38342	95976	4120	26845	12405	11264	49633	27384	33688	73483	42606	27313	119629	31884	126889	45022	11608	14317	16346	27156	14450	16721
hsa-let-7f-1-3p|MIMAT0004486	8	10	25	3	10	8	15	12	8	20	26	14	11	32	10	19	25	14	7	7	7	9	20
hsa-let-7f-2-3p|MIMAT0004487	2	4	3	1	1	3	1	1	2	6	4	6	NA	9	1	4	10	4	3	4	NA	NA	4
hsa-miR-15a-5p|MIMAT0000068	373	1217	2137	288	2028	597	724	1049	927	830	1760	1793	1098	3599	1813	3222	1225	1242	801	593	1170	1239	472
hsa-miR-15a-3p|MIMAT0004488	NA	1	1	NA	5	NA	NA	2	2	4	NA	1	3	NA	1	2	NA	7	2	NA	NA	2	NA
hsa-miR-16-5p|MIMAT0000069	1535	2814	2886	714	3081	1192	1664	2067	1719	2185	2610	2780	2337	5115	3156	4660	2187	3542	2182	1216	3362	1983	1020
hsa-miR-16-1-3p|MIMAT0004489	13	22	50	4	62	21	30	32	30	20	44	45	37	110	45	64	46	60	31	33	35	44	14
hsa-miR-17-5p|MIMAT0000070	1161	4284	4855	5834	21416	6860	3914	2135	3791	7876	2270	4616	1346	4248	2862	3214	9041	22585	3771	8844	3211	2655	4170
hsa-miR-17-3p|MIMAT0000071	656	2273	3329	1225	5228	2340	2764	1483	1981	6247	1891	3309	911	5441	2548	3512	4734	7055	1667	5131	1658	833	1774
hsa-miR-18a-5p|MIMAT0000072	4	94	67	86	273	101	49	27	131	141	17	63	6	49	38	29	206	1220	143	194	85	61	147
hsa-miR-18a-3p|MIMAT0002891	3	6	4	62	42	18	10	3	22	31	3	7	NA	8	8	7	30	111	6	41	5	14	8
hsa-miR-19a-5p|MIMAT0004490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA
hsa-miR-19a-3p|MIMAT0000073	21	115	172	42	472	205	106	83	168	149	86	130	38	201	74	109	387	778	152	383	90	149	158
hsa-miR-19b-1-5p|MIMAT0004491	15	49	106	24	189	77	56	33	54	115	52	73	19	93	37	41	136	218	39	125	48	26	26
hsa-miR-19b-3p|MIMAT0000074	130	738	924	368	1909	809	557	512	661	1110	375	635	244	737	245	429	1482	3222	509	1328	452	466	762
hsa-miR-19b-2-5p|MIMAT0004492	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-20a-5p|MIMAT0000075	611	2920	3821	1853	12903	3649	2365	1429	1978	4119	1794	3405	1118	5243	1992	2831	6341	11230	2060	5856	2208	1277	2104
hsa-miR-20a-3p|MIMAT0004493	2	19	18	13	111	39	22	17	39	71	21	29	11	44	14	29	60	200	19	55	26	19	29
hsa-miR-21-5p|MIMAT0000076	407364	1874080	4597942	181648	643287	705801	1078417	1987844	1528324	1206155	3430440	3441453	141544	3762717	1494818	3655924	1608734	1263675	717020	1080584	379330	598846	1745772
hsa-miR-21-3p|MIMAT0004494	6303	14940	21604	3981	26261	22430	15838	9823	16222	11566	28788	37781	732	13754	11047	13100	14065	44663	12116	6511	9691	28849	12316
hsa-miR-22-5p|MIMAT0004495	104	194	275	52	48	71	161	323	185	211	183	171	116	112	58	88	91	200	105	74	84	127	234
hsa-miR-22-3p|MIMAT0000077	485393	569003	786354	122460	177912	171729	418257	861872	478286	422015	1184131	808833	674968	788515	552814	1066717	250214	364698	276473	211311	395256	249686	565014
hsa-miR-23a-5p|MIMAT0004496	39	11	10	63	96	4	24	9	13	109	8	13	2	16	16	24	15	283	11	10	12	29	6
hsa-miR-23a-3p|MIMAT0000078	9480	21458	41798	13535	13924	9165	18959	23261	24694	110698	32721	24530	7831	27833	20794	42910	32639	35934	12138	19780	7262	23127	25860
