Gene	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13
hsa-let-7a-5p|MIMAT0000062	116001	290145	272352	137903	191321
hsa-let-7a-3p|MIMAT0004481	77	132	110	96	180
hsa-let-7a-2-3p|MIMAT0010195	29	39	42	12	116
hsa-let-7b-5p|MIMAT0000063	42307	72364	62214	37765	119569
hsa-let-7b-3p|MIMAT0004482	81	277	114	99	387
hsa-let-7c-5p|MIMAT0000064	46131	61875	75097	30548	29586
hsa-let-7d-5p|MIMAT0000065	1352	1853	1933	1360	2078
hsa-let-7d-3p|MIMAT0004484	1259	1889	1886	1300	2651
hsa-let-7e-5p|MIMAT0000066	15500	32653	41612	16003	10867
hsa-let-7e-3p|MIMAT0004485	177	182	189	108	136
hsa-let-7f-5p|MIMAT0000067	32701	112990	111505	56381	37482
hsa-let-7f-1-3p|MIMAT0004486	4	13	8	5	16
hsa-let-7f-2-3p|MIMAT0004487	1	1	1	1	3
hsa-miR-15a-5p|MIMAT0000068	450	995	958	805	897
hsa-miR-15a-3p|MIMAT0004488	NA	NA	1	NA	1
hsa-miR-16-5p|MIMAT0000069	1117	2594	1888	3042	1850
hsa-miR-16-1-3p|MIMAT0004489	8	15	11	12	16
hsa-miR-17-5p|MIMAT0000070	484	1129	991	1066	1442
hsa-miR-17-3p|MIMAT0000071	419	1095	841	664	1156
hsa-miR-18a-5p|MIMAT0000072	8	31	31	46	42
hsa-miR-18a-3p|MIMAT0002891	1	4	4	6	5
hsa-miR-19a-5p|MIMAT0004490	NA	NA	NA	NA	NA
hsa-miR-19a-3p|MIMAT0000073	42	134	91	86	129
hsa-miR-19b-1-5p|MIMAT0004491	3	12	6	13	21
hsa-miR-19b-3p|MIMAT0000074	191	469	344	409	544
hsa-miR-19b-2-5p|MIMAT0004492	NA	NA	NA	NA	NA
hsa-miR-20a-5p|MIMAT0000075	349	1141	825	789	832
hsa-miR-20a-3p|MIMAT0004493	6	9	7	12	21
hsa-miR-21-5p|MIMAT0000076	39511	46683	39374	42923	43602
hsa-miR-21-3p|MIMAT0004494	162	367	79	290	219
hsa-miR-22-5p|MIMAT0004495	118	175	206	123	102
hsa-miR-22-3p|MIMAT0000077	314402	456414	512182	266535	303629
hsa-miR-23a-5p|MIMAT0004496	3	2	2	5	NA
hsa-miR-23a-3p|MIMAT0000078	1815	2260	3248	1639	1794
hsa-miR-24-1-5p|MIMAT0000079	61	96	71	64	280
hsa-miR-24-3p|MIMAT0000080	6467	11107	9318	7965	8084
hsa-miR-24-2-5p|MIMAT0004497	16	20	19	18	18
hsa-miR-25-5p|MIMAT0004498	NA	NA	2	1	NA
hsa-miR-25-3p|MIMAT0000081	7134	15962	11727	21574	20635
hsa-miR-26a-5p|MIMAT0000082	10107	17072	13051	12894	12227
hsa-miR-26a-1-3p|MIMAT0004499	3	2	2	NA	3
hsa-miR-26b-5p|MIMAT0000083	1628	3004	2137	3407	4369
hsa-miR-26b-3p|MIMAT0004500	42	49	49	43	106
hsa-miR-27a-5p|MIMAT0004501	13	23	5	10	6
hsa-miR-27a-3p|MIMAT0000084	639	1018	1142	757	458
hsa-miR-28-5p|MIMAT0000085	163	256	257	170	192
hsa-miR-28-3p|MIMAT0004502	3358	3530	4363	3526	7422
hsa-miR-29a-5p|MIMAT0004503	46	63	54	40	38
hsa-miR-29a-3p|MIMAT0000086	71805	110032	101034	60092	50338
hsa-miR-30a-5p|MIMAT0000087	84142	101032	129991	69451	69406
hsa-miR-30a-3p|MIMAT0000088	19890	17219	24731	15721	22830
hsa-miR-31-5p|MIMAT0000089	11	25	20	9	8
hsa-miR-31-3p|MIMAT0004504	11	21	15	10	4
hsa-miR-32-5p|MIMAT0000090	36	160	84	118	104
hsa-miR-32-3p|MIMAT0004505	1	NA	2	3	3
hsa-miR-33a-5p|MIMAT0000091	179	324	339	187	561
hsa-miR-33a-3p|MIMAT0004506	13	19	17	10	15
hsa-miR-92a-1-5p|MIMAT0004507	2	6	2	1	4
hsa-miR-92a-3p|MIMAT0000092	10716	25036	19121	21613	48906
hsa-miR-92a-2-5p|MIMAT0004508	NA	NA	NA	NA	NA
hsa-miR-93-5p|MIMAT0000093	6859	12416	11746	10752	14475
hsa-miR-93-3p|MIMAT0004509	34	41	40	37	62
hsa-miR-95-3p|MIMAT0000094	167	185	247	128	80
hsa-miR-96-5p|MIMAT0000095	3	8	5	34	NA
hsa-miR-96-3p|MIMAT0004510	NA	NA	NA	NA	NA
hsa-miR-98-5p|MIMAT0000096	713	1311	1395	658	678
hsa-miR-99a-5p|MIMAT0000097	8365	12648	15968	5433	7974
hsa-miR-99a-3p|MIMAT0004511	61	74	58	34	33
hsa-miR-100-5p|MIMAT0000098	31283	77911	63638	31212	150711
hsa-miR-100-3p|MIMAT0004512	2	NA	4	NA	5
hsa-miR-101-5p|MIMAT0004513	66	112	131	83	104
hsa-miR-101-3p|MIMAT0000099	62699	117693	118395	57079	62838
hsa-miR-29b-1-5p|MIMAT0004514	15	21	25	11	24
hsa-miR-29b-3p|MIMAT0000100	9131	15036	12967	7863	7254
hsa-miR-29b-2-5p|MIMAT0004515	429	500	506	342	295
hsa-miR-103a-2-5p|MIMAT0009196	44	46	50	32	26
hsa-miR-103a-3p|MIMAT0000101	266406	372724	382458	228376	181392
hsa-miR-105-5p|MIMAT0000102	1199	972	1211	712	467
hsa-miR-105-3p|MIMAT0004516	2	5	6	4	1
hsa-miR-106a-5p|MIMAT0000103	106	159	148	137	88
hsa-miR-106a-3p|MIMAT0004517	NA	NA	3	1	2
hsa-miR-107|MIMAT0000104	836	1599	1643	825	471
hsa-miR-16-2-3p|MIMAT0004518	10	26	14	46	15
hsa-miR-192-5p|MIMAT0000222	1522	1861	1982	1553	2331
hsa-miR-192-3p|MIMAT0004543	7	2	6	6	4
hsa-miR-196a-5p|MIMAT0000226	NA	NA	3	NA	NA
hsa-miR-197-3p|MIMAT0000227	6238	6798	6003	5550	5075
hsa-miR-198|MIMAT0000228	NA	NA	NA	NA	NA
hsa-miR-199a-5p|MIMAT0000231	132	179	208	91	76
hsa-miR-199a-3p|MIMAT0000232	302	299	471	221	134
hsa-miR-208a-3p|MIMAT0000241	NA	NA	NA	NA	NA
hsa-miR-129-5p|MIMAT0000242	25768	22377	27876	10780	7462
hsa-miR-129-1-3p|MIMAT0004548	104	118	124	86	43
hsa-miR-148a-5p|MIMAT0004549	4	11	11	2	1
hsa-miR-148a-3p|MIMAT0000243	6352	7977	10150	5649	3366
hsa-miR-30c-5p|MIMAT0000244	4807	6280	6916	4058	3676
hsa-miR-30c-2-3p|MIMAT0004550	399	485	567	338	442
hsa-miR-30d-5p|MIMAT0000245	29077	36448	43740	22505	10558
hsa-miR-30d-3p|MIMAT0004551	15	22	20	8	7
hsa-miR-139-5p|MIMAT0000250	17824	18277	22283	9822	5706
hsa-miR-139-3p|MIMAT0004552	4129	5470	6286	3276	1257
hsa-miR-147a|MIMAT0000251	NA	NA	NA	NA	NA
hsa-miR-7-5p|MIMAT0000252	217	704	449	234	47
hsa-miR-7-1-3p|MIMAT0004553	296	203	251	189	91
hsa-miR-7-2-3p|MIMAT0004554	11	23	17	11	5
hsa-miR-10a-5p|MIMAT0000253	530	441	493	405	302
hsa-miR-10a-3p|MIMAT0004555	NA	NA	NA	NA	NA
hsa-miR-10b-5p|MIMAT0000254	453	381	731	994	331
hsa-miR-10b-3p|MIMAT0004556	NA	NA	1	NA	1
hsa-miR-34a-5p|MIMAT0000255	374	592	684	440	315
hsa-miR-34a-3p|MIMAT0004557	NA	NA	2	2	2
hsa-miR-181a-5p|MIMAT0000256	18637	56218	35886	24956	98650
hsa-miR-181a-2-3p|MIMAT0004558	2254	4348	3833	3412	12635
hsa-miR-181b-5p|MIMAT0000257	3576	11870	7449	5223	31196
hsa-miR-181c-5p|MIMAT0000258	1005	1484	1862	836	339
hsa-miR-181c-3p|MIMAT0004559	1730	2570	3150	1274	704
hsa-miR-182-5p|MIMAT0000259	1966	4819	5652	13139	1085
hsa-miR-182-3p|MIMAT0000260	NA	NA	NA	NA	NA
hsa-miR-183-5p|MIMAT0000261	567	909	1228	2622	206
hsa-miR-183-3p|MIMAT0004560	NA	NA	NA	NA	NA
hsa-miR-187-5p|MIMAT0004561	NA	1	NA	NA	NA
hsa-miR-187-3p|MIMAT0000262	96	77	130	122	18
hsa-miR-196a-3p|MIMAT0004562	NA	NA	NA	NA	NA
hsa-miR-199b-5p|MIMAT0000263	20	30	31	22	6
hsa-miR-199b-3p|MIMAT0004563	302	294	466	221	131
hsa-miR-203a-3p|MIMAT0000264	3153	2453	5354	2349	1306
hsa-miR-204-5p|MIMAT0000265	574	827	1180	641	772
hsa-miR-205-5p|MIMAT0000266	3	9	7	5	2
hsa-miR-205-3p|MIMAT0009197	NA	NA	NA	NA	NA
hsa-miR-210-3p|MIMAT0000267	551	594	587	425	1530
hsa-miR-211-5p|MIMAT0000268	40	49	2	27	82
hsa-miR-212-3p|MIMAT0000269	198	352	322	143	88
hsa-miR-181a-3p|MIMAT0000270	2546	6173	4526	3012	10965
hsa-miR-214-5p|MIMAT0004564	NA	NA	7	3	1
hsa-miR-214-3p|MIMAT0000271	NA	1	2	1	NA
hsa-miR-215-5p|MIMAT0000272	3	17	15	10	16
hsa-miR-216a-5p|MIMAT0000273	3	14	8	6	5
hsa-miR-217|MIMAT0000274	53	270	110	136	251
hsa-miR-218-5p|MIMAT0000275	3828	5510	4387	2872	895
hsa-miR-218-1-3p|MIMAT0004565	1	6	5	NA	1
hsa-miR-218-2-3p|MIMAT0004566	7	2	8	2	2
hsa-miR-219a-5p|MIMAT0000276	392	2738	886	1389	8644
hsa-miR-219a-1-3p|MIMAT0004567	7	14	14	5	13
hsa-miR-221-5p|MIMAT0004568	12	15	14	14	5
hsa-miR-221-3p|MIMAT0000278	1617	2520	2575	1695	669
hsa-miR-222-5p|MIMAT0004569	18	14	18	8	4
hsa-miR-222-3p|MIMAT0000279	472	525	514	299	146
hsa-miR-223-5p|MIMAT0004570	6	11	3	12	5
hsa-miR-223-3p|MIMAT0000280	762	1342	860	1572	578
hsa-miR-224-5p|MIMAT0000281	2	3	2	2	NA
hsa-miR-224-3p|MIMAT0009198	NA	NA	NA	1	1
hsa-miR-200b-5p|MIMAT0004571	NA	2	NA	NA	2
hsa-miR-200b-3p|MIMAT0000318	4	27	21	15	42
hsa-let-7g-5p|MIMAT0000414	3703	8075	7421	4445	4648
hsa-let-7g-3p|MIMAT0004584	274	266	279	244	321
hsa-let-7i-5p|MIMAT0000415	1194	1874	1801	1302	1607
hsa-let-7i-3p|MIMAT0004585	158	222	135	219	251
hsa-miR-1-3p|MIMAT0000416	103	189	269	140	32
hsa-miR-15b-5p|MIMAT0000417	229	488	431	716	389
hsa-miR-15b-3p|MIMAT0004586	14	54	53	95	35
hsa-miR-23b-5p|MIMAT0004587	2	4	3	2	16
hsa-miR-23b-3p|MIMAT0000418	4633	8064	6613	4225	10548
hsa-miR-27b-5p|MIMAT0004588	53	84	95	48	129
hsa-miR-27b-3p|MIMAT0000419	5781	12901	9345	7388	15852
hsa-miR-30b-5p|MIMAT0000420	1635	2118	2166	1784	1028
hsa-miR-30b-3p|MIMAT0004589	11	27	19	12	12
hsa-miR-122-5p|MIMAT0000421	NA	1	2	2	3
hsa-miR-122-3p|MIMAT0004590	NA	NA	NA	NA	NA
hsa-miR-124-5p|MIMAT0004591	491	557	594	318	100
hsa-miR-124-3p|MIMAT0000422	7328	7485	9241	5220	1643
hsa-miR-125b-5p|MIMAT0000423	17975	25073	28035	13047	21006
hsa-miR-125b-1-3p|MIMAT0004592	13	25	15	14	27
hsa-miR-128-3p|MIMAT0000424	42790	84410	89722	36816	14995
hsa-miR-130a-5p|MIMAT0004593	NA	1	2	1	1
hsa-miR-130a-3p|MIMAT0000425	289	362	485	226	151
hsa-miR-132-5p|MIMAT0004594	178	343	259	126	86
hsa-miR-132-3p|MIMAT0000426	7660	14941	12554	5479	3640
hsa-miR-133a-3p|MIMAT0000427	128	141	184	144	33
hsa-miR-135a-5p|MIMAT0000428	102	132	129	82	38
hsa-miR-135a-3p|MIMAT0004595	NA	1	3	NA	NA
hsa-miR-137|MIMAT0000429	3436	5404	5248	2629	710
hsa-miR-138-5p|MIMAT0000430	1234	1820	1609	967	439
hsa-miR-138-2-3p|MIMAT0004596	19	23	21	19	17
hsa-miR-140-5p|MIMAT0000431	306	453	431	285	383
hsa-miR-140-3p|MIMAT0004597	9218	17877	17494	9909	12925
hsa-miR-141-5p|MIMAT0004598	3	3	1	1	1
hsa-miR-141-3p|MIMAT0000432	6	12	15	9	8
hsa-miR-142-5p|MIMAT0000433	33	61	56	105	20
hsa-miR-142-3p|MIMAT0000434	776	996	1102	2097	737
hsa-miR-143-5p|MIMAT0004599	52	25	60	45	31
hsa-miR-143-3p|MIMAT0000435	100773	126678	169160	123310	53015
hsa-miR-144-5p|MIMAT0004600	850	5357	3398	8193	285
hsa-miR-144-3p|MIMAT0000436	35	141	125	289	6
hsa-miR-145-5p|MIMAT0000437	2138	2667	3196	2532	1631
