Gene	TCGA-DX-AB2L-01A-32R-A41D-13
hsa-let-7a-5p|MIMAT0000062	234707
hsa-let-7a-3p|MIMAT0004481	146
hsa-let-7a-2-3p|MIMAT0010195	45
hsa-let-7b-5p|MIMAT0000063	133988
hsa-let-7b-3p|MIMAT0004482	115
hsa-let-7c-5p|MIMAT0000064	33418
hsa-let-7d-5p|MIMAT0000065	622
hsa-let-7d-3p|MIMAT0004484	708
hsa-let-7e-5p|MIMAT0000066	11714
hsa-let-7e-3p|MIMAT0004485	98
hsa-let-7f-5p|MIMAT0000067	46275
hsa-let-7f-1-3p|MIMAT0004486	13
hsa-let-7f-2-3p|MIMAT0004487	3
hsa-miR-15a-5p|MIMAT0000068	3085
hsa-miR-15a-3p|MIMAT0004488	NA
hsa-miR-16-5p|MIMAT0000069	1822
hsa-miR-16-1-3p|MIMAT0004489	37
hsa-miR-17-5p|MIMAT0000070	712
hsa-miR-17-3p|MIMAT0000071	739
hsa-miR-18a-5p|MIMAT0000072	14
hsa-miR-18a-3p|MIMAT0002891	2
hsa-miR-19a-5p|MIMAT0004490	NA
hsa-miR-19a-3p|MIMAT0000073	80
hsa-miR-19b-1-5p|MIMAT0004491	13
hsa-miR-19b-3p|MIMAT0000074	265
hsa-miR-19b-2-5p|MIMAT0004492	NA
hsa-miR-20a-5p|MIMAT0000075	579
hsa-miR-20a-3p|MIMAT0004493	6
hsa-miR-21-5p|MIMAT0000076	3380985
hsa-miR-21-3p|MIMAT0004494	6720
hsa-miR-22-5p|MIMAT0004495	367
hsa-miR-22-3p|MIMAT0000077	1233305
hsa-miR-23a-5p|MIMAT0004496	8
hsa-miR-23a-3p|MIMAT0000078	30922
hsa-miR-24-1-5p|MIMAT0000079	64
hsa-miR-24-3p|MIMAT0000080	9281
hsa-miR-24-2-5p|MIMAT0004497	269
hsa-miR-25-5p|MIMAT0004498	1
hsa-miR-25-3p|MIMAT0000081	19743
hsa-miR-26a-5p|MIMAT0000082	8350
hsa-miR-26a-1-3p|MIMAT0004499	3
hsa-miR-26b-5p|MIMAT0000083	2310
hsa-miR-26b-3p|MIMAT0004500	51
hsa-miR-27a-5p|MIMAT0004501	67
hsa-miR-27a-3p|MIMAT0000084	10180
hsa-miR-28-5p|MIMAT0000085	579
hsa-miR-28-3p|MIMAT0004502	19732
hsa-miR-29a-5p|MIMAT0004503	8
hsa-miR-29a-3p|MIMAT0000086	8326
hsa-miR-30a-5p|MIMAT0000087	45916
hsa-miR-30a-3p|MIMAT0000088	8914
hsa-miR-31-5p|MIMAT0000089	30
hsa-miR-31-3p|MIMAT0004504	34
hsa-miR-32-5p|MIMAT0000090	27
hsa-miR-32-3p|MIMAT0004505	NA
hsa-miR-33a-5p|MIMAT0000091	5
hsa-miR-33a-3p|MIMAT0004506	NA
hsa-miR-92a-1-5p|MIMAT0004507	5
hsa-miR-92a-3p|MIMAT0000092	17238
hsa-miR-92a-2-5p|MIMAT0004508	NA
hsa-miR-93-5p|MIMAT0000093	13334
hsa-miR-93-3p|MIMAT0004509	21
hsa-miR-95-3p|MIMAT0000094	7
hsa-miR-96-5p|MIMAT0000095	NA
hsa-miR-96-3p|MIMAT0004510	NA
hsa-miR-98-5p|MIMAT0000096	199
hsa-miR-99a-5p|MIMAT0000097	5976
hsa-miR-99a-3p|MIMAT0004511	33
hsa-miR-100-5p|MIMAT0000098	26851
hsa-miR-100-3p|MIMAT0004512	2
hsa-miR-101-5p|MIMAT0004513	7
hsa-miR-101-3p|MIMAT0000099	11166
hsa-miR-29b-1-5p|MIMAT0004514	15
hsa-miR-29b-3p|MIMAT0000100	308
hsa-miR-29b-2-5p|MIMAT0004515	31
hsa-miR-103a-2-5p|MIMAT0009196	6
hsa-miR-103a-3p|MIMAT0000101	116038
hsa-miR-105-5p|MIMAT0000102	NA
hsa-miR-105-3p|MIMAT0004516	NA
hsa-miR-106a-5p|MIMAT0000103	13
hsa-miR-106a-3p|MIMAT0004517	NA
hsa-miR-107|MIMAT0000104	195
hsa-miR-16-2-3p|MIMAT0004518	14
hsa-miR-192-5p|MIMAT0000222	344
hsa-miR-192-3p|MIMAT0004543	2
hsa-miR-196a-5p|MIMAT0000226	4894
hsa-miR-197-3p|MIMAT0000227	961
hsa-miR-198|MIMAT0000228	NA
hsa-miR-199a-5p|MIMAT0000231	66937
hsa-miR-199a-3p|MIMAT0000232	70952
hsa-miR-208a-3p|MIMAT0000241	NA
hsa-miR-129-5p|MIMAT0000242	20
hsa-miR-129-1-3p|MIMAT0004548	NA
hsa-miR-148a-5p|MIMAT0004549	116
hsa-miR-148a-3p|MIMAT0000243	143599
hsa-miR-30c-5p|MIMAT0000244	2520
hsa-miR-30c-2-3p|MIMAT0004550	174
hsa-miR-30d-5p|MIMAT0000245	13841
hsa-miR-30d-3p|MIMAT0004551	11
hsa-miR-139-5p|MIMAT0000250	664
hsa-miR-139-3p|MIMAT0004552	97
hsa-miR-147a|MIMAT0000251	NA
hsa-miR-7-5p|MIMAT0000252	1
hsa-miR-7-1-3p|MIMAT0004553	53
hsa-miR-7-2-3p|MIMAT0004554	1
hsa-miR-10a-5p|MIMAT0000253	61090
hsa-miR-10a-3p|MIMAT0004555	4
hsa-miR-10b-5p|MIMAT0000254	341707
hsa-miR-10b-3p|MIMAT0004556	153
hsa-miR-34a-5p|MIMAT0000255	1021
hsa-miR-34a-3p|MIMAT0004557	8
hsa-miR-181a-5p|MIMAT0000256	14558
hsa-miR-181a-2-3p|MIMAT0004558	2999
hsa-miR-181b-5p|MIMAT0000257	2073
hsa-miR-181c-5p|MIMAT0000258	152
hsa-miR-181c-3p|MIMAT0004559	229
hsa-miR-182-5p|MIMAT0000259	381
hsa-miR-182-3p|MIMAT0000260	NA
hsa-miR-183-5p|MIMAT0000261	71
hsa-miR-183-3p|MIMAT0004560	NA
hsa-miR-187-5p|MIMAT0004561	NA
hsa-miR-187-3p|MIMAT0000262	9
hsa-miR-196a-3p|MIMAT0004562	2
hsa-miR-199b-5p|MIMAT0000263	7967
hsa-miR-199b-3p|MIMAT0004563	70496
hsa-miR-203a-3p|MIMAT0000264	152
hsa-miR-204-5p|MIMAT0000265	10
hsa-miR-205-5p|MIMAT0000266	NA
hsa-miR-205-3p|MIMAT0009197	NA
hsa-miR-210-3p|MIMAT0000267	878
hsa-miR-211-5p|MIMAT0000268	NA
hsa-miR-212-3p|MIMAT0000269	12
hsa-miR-181a-3p|MIMAT0000270	3533
hsa-miR-214-5p|MIMAT0004564	932
hsa-miR-214-3p|MIMAT0000271	229
hsa-miR-215-5p|MIMAT0000272	NA
hsa-miR-216a-5p|MIMAT0000273	5
hsa-miR-217|MIMAT0000274	381
hsa-miR-218-5p|MIMAT0000275	362
hsa-miR-218-1-3p|MIMAT0004565	2
hsa-miR-218-2-3p|MIMAT0004566	NA
hsa-miR-219a-5p|MIMAT0000276	8
hsa-miR-219a-1-3p|MIMAT0004567	6
hsa-miR-221-5p|MIMAT0004568	2
hsa-miR-221-3p|MIMAT0000278	543
hsa-miR-222-5p|MIMAT0004569	18
hsa-miR-222-3p|MIMAT0000279	122
hsa-miR-223-5p|MIMAT0004570	8
hsa-miR-223-3p|MIMAT0000280	356
hsa-miR-224-5p|MIMAT0000281	82
hsa-miR-224-3p|MIMAT0009198	6
hsa-miR-200b-5p|MIMAT0004571	NA
hsa-miR-200b-3p|MIMAT0000318	10
hsa-let-7g-5p|MIMAT0000414	1966
hsa-let-7g-3p|MIMAT0004584	45
hsa-let-7i-5p|MIMAT0000415	3628
hsa-let-7i-3p|MIMAT0004585	183
hsa-miR-1-3p|MIMAT0000416	62
hsa-miR-15b-5p|MIMAT0000417	804
hsa-miR-15b-3p|MIMAT0004586	10
hsa-miR-23b-5p|MIMAT0004587	3
hsa-miR-23b-3p|MIMAT0000418	6289
hsa-miR-27b-5p|MIMAT0004588	119
hsa-miR-27b-3p|MIMAT0000419	8930
hsa-miR-30b-5p|MIMAT0000420	722
hsa-miR-30b-3p|MIMAT0004589	2
hsa-miR-122-5p|MIMAT0000421	NA
hsa-miR-122-3p|MIMAT0004590	NA
hsa-miR-124-5p|MIMAT0004591	NA
hsa-miR-124-3p|MIMAT0000422	NA
hsa-miR-125b-5p|MIMAT0000423	8034
hsa-miR-125b-1-3p|MIMAT0004592	4
hsa-miR-128-3p|MIMAT0000424	480
hsa-miR-130a-5p|MIMAT0004593	2
hsa-miR-130a-3p|MIMAT0000425	439
hsa-miR-132-5p|MIMAT0004594	8
hsa-miR-132-3p|MIMAT0000426	653
hsa-miR-133a-3p|MIMAT0000427	13
hsa-miR-135a-5p|MIMAT0000428	NA
hsa-miR-135a-3p|MIMAT0004595	NA
hsa-miR-137|MIMAT0000429	70
hsa-miR-138-5p|MIMAT0000430	NA
hsa-miR-138-2-3p|MIMAT0004596	NA
hsa-miR-140-5p|MIMAT0000431	663
hsa-miR-140-3p|MIMAT0004597	27390
hsa-miR-141-5p|MIMAT0004598	1
hsa-miR-141-3p|MIMAT0000432	3
hsa-miR-142-5p|MIMAT0000433	52
hsa-miR-142-3p|MIMAT0000434	875
hsa-miR-143-5p|MIMAT0004599	228
hsa-miR-143-3p|MIMAT0000435	249514
hsa-miR-144-5p|MIMAT0004600	193
hsa-miR-144-3p|MIMAT0000436	4
hsa-miR-145-5p|MIMAT0000437	10463
hsa-miR-145-3p|MIMAT0004601	316
hsa-miR-152-3p|MIMAT0000438	5423
hsa-miR-153-3p|MIMAT0000439	3
hsa-miR-191-5p|MIMAT0000440	2003
hsa-miR-191-3p|MIMAT0001618	2
hsa-miR-9-5p|MIMAT0000441	765
hsa-miR-9-3p|MIMAT0000442	3
hsa-miR-125a-5p|MIMAT0000443	4143
hsa-miR-125a-3p|MIMAT0004602	27
hsa-miR-125b-2-3p|MIMAT0004603	234
hsa-miR-126-5p|MIMAT0000444	1267
hsa-miR-126-3p|MIMAT0000445	15590
hsa-miR-127-5p|MIMAT0004604	6819
hsa-miR-127-3p|MIMAT0000446	29283
hsa-miR-129-2-3p|MIMAT0004605	NA
hsa-miR-134-5p|MIMAT0000447	9650
hsa-miR-136-5p|MIMAT0000448	717
hsa-miR-136-3p|MIMAT0004606	490
hsa-miR-138-1-3p|MIMAT0004607	NA
hsa-miR-146a-5p|MIMAT0000449	68
hsa-miR-146a-3p|MIMAT0004608	NA
hsa-miR-149-5p|MIMAT0000450	49
hsa-miR-149-3p|MIMAT0004609	NA
hsa-miR-150-5p|MIMAT0000451	345
hsa-miR-150-3p|MIMAT0004610	NA
hsa-miR-154-5p|MIMAT0000452	233
hsa-miR-154-3p|MIMAT0000453	77
hsa-miR-184|MIMAT0000454	1
hsa-miR-185-5p|MIMAT0000455	441
hsa-miR-185-3p|MIMAT0004611	7
hsa-miR-186-5p|MIMAT0000456	1276
hsa-miR-186-3p|MIMAT0004612	NA
hsa-miR-188-5p|MIMAT0000457	5
hsa-miR-188-3p|MIMAT0004613	1
hsa-miR-190a-5p|MIMAT0000458	6
hsa-miR-193a-5p|MIMAT0004614	1757
hsa-miR-193a-3p|MIMAT0000459	29
hsa-miR-194-5p|MIMAT0000460	223
hsa-miR-195-5p|MIMAT0000461	456
hsa-miR-195-3p|MIMAT0004615	79
hsa-miR-206|MIMAT0000462	92
hsa-miR-320a|MIMAT0000510	2511
hsa-miR-200c-5p|MIMAT0004657	1
hsa-miR-200c-3p|MIMAT0000617	39
hsa-miR-155-5p|MIMAT0000646	930
hsa-miR-155-3p|MIMAT0004658	2
hsa-miR-194-3p|MIMAT0004671	NA
