Gene	TCGA-N5-A4R8-01A-11R-A28Z-13	TCGA-N5-A4RA-01A-11R-A28Z-13	TCGA-N5-A4RD-01A-11R-A28Z-13	TCGA-N5-A4RF-01A-11R-A28Z-13	TCGA-N5-A4RJ-01A-11R-A28Z-13	TCGA-N5-A4RM-01A-11R-A28Z-13	TCGA-N5-A4RN-01A-12R-A28Z-13	TCGA-N5-A4RO-01A-11R-A28Z-13	TCGA-N5-A4RS-01A-11R-A28Z-13	TCGA-N5-A4RT-01A-11R-A28Z-13	TCGA-N5-A4RU-01A-31R-A28Z-13	TCGA-N5-A4RV-01A-21R-A28Z-13	TCGA-N5-A59E-01A-11R-A28Z-13	TCGA-N5-A59F-01A-11R-A28Z-13	TCGA-N6-A4V9-01A-11R-A28Z-13	TCGA-N6-A4VC-01A-11R-A28Z-13	TCGA-N6-A4VD-01A-11R-A28Z-13	TCGA-N6-A4VE-01A-11R-A28Z-13	TCGA-N6-A4VF-01A-31R-A28Z-13	TCGA-N6-A4VG-01A-31R-A28Z-13	TCGA-N7-A4Y5-01A-12R-A28Z-13	TCGA-N7-A4Y8-01A-11R-A28Z-13	TCGA-N7-A59B-01A-11R-A28Z-13	TCGA-N8-A4PI-01A-21R-A28Z-13	TCGA-N8-A4PL-01A-11R-A28Z-13	TCGA-N8-A4PM-01A-11R-A28Z-13	TCGA-N8-A4PN-01A-11R-A28Z-13	TCGA-N8-A4PO-01A-11R-A28Z-13	TCGA-N8-A4PP-01A-11R-A28Z-13	TCGA-N8-A4PQ-01A-11R-A28Z-13	TCGA-N8-A56S-01A-11R-A28Z-13	TCGA-N9-A4PZ-01A-22R-A28Z-13	TCGA-N9-A4Q1-01A-11R-A28Z-13	TCGA-N9-A4Q3-01A-11R-A28Z-13	TCGA-N9-A4Q4-01A-11R-A28Z-13	TCGA-N9-A4Q7-01A-11R-A28Z-13	TCGA-N9-A4Q8-01A-31R-A28Z-13	TCGA-NA-A4QV-01A-11R-A28Z-13	TCGA-NA-A4QW-01A-11R-A28Z-13	TCGA-NA-A4QX-01A-11R-A28Z-13	TCGA-NA-A4QY-01A-11R-A28Z-13	TCGA-NA-A4R0-01A-11R-A28Z-13	TCGA-NA-A4R1-01A-11R-A28Z-13	TCGA-NA-A5I1-01A-21R-A28Z-13	TCGA-ND-A4W6-01A-11R-A28Z-13	TCGA-ND-A4WA-01A-12R-A28Z-13	TCGA-ND-A4WC-01A-21R-A28Z-13	TCGA-ND-A4WF-01A-11R-A28Z-13	TCGA-NF-A4WU-01A-11R-A28Z-13	TCGA-NF-A4WX-01A-11R-A28Z-13	TCGA-NF-A4X2-01A-11R-A28Z-13	TCGA-NF-A5CP-01A-12R-A28Z-13	TCGA-NG-A4VU-01A-11R-A28Z-13	TCGA-NG-A4VW-01A-11R-A28Z-13	TCGA-QM-A5NM-01A-11R-A28Z-13	TCGA-QN-A5NN-01A-11R-A28Z-13
hsa-let-7a-5p|MIMAT0000062	51933	32801	98389	49059	50872	38026	46354	14681	81698	33521	52244	135116	31495	77315	40815	18923	91497	20335	113989	24263	59486	39275	73016	49370	34291	44235	39297	164751	17638	50994	82163	42941	52695	47986	29621	54263	82661	50700	73259	52585	24350	67069	65380	31917	108656	218340	29931	72807	39364	69632	40456	63808	30538	103510	120042	220135
hsa-let-7a-3p|MIMAT0004481	290	216	198	635	170	166	248	104	243	155	285	466	272	204	164	271	404	201	333	201	467	314	270	180	144	236	376	361	127	261	272	92	266	326	354	194	322	181	211	199	79	238	243	141	580	527	220	512	242	354	376	305	134	316	221	486
hsa-let-7a-2-3p|MIMAT0010195	421	55	108	39	187	19	39	50	73	216	137	126	123	41	75	15	50	113	231	8	73	9	45	39	34	56	445	32	25	154	136	22	105	82	194	NA	17	128	58	83	69	94	137	36	40	71	65	222	23	125	114	40	44	16	37	95
hsa-let-7b-5p|MIMAT0000063	5467	7501	17379	9414	27653	11433	9400	7159	34494	10401	17417	60603	6540	53383	12664	10347	33537	11330	85433	6159	16314	3464	56243	38933	5708	24247	9396	128460	6374	35232	37989	17317	13798	14523	9187	11829	46750	32699	21325	24721	9090	41670	43220	8871	57577	90314	19227	40448	7351	23291	20880	43785	5569	88008	61431	200578
hsa-let-7b-3p|MIMAT0004482	19	14	19	16	32	13	11	18	54	22	25	38	6	60	24	18	53	35	111	20	27	7	67	30	7	39	17	68	7	41	56	23	21	28	19	28	47	45	27	33	13	88	26	18	109	75	45	52	22	28	51	70	11	53	48	111
hsa-let-7c-5p|MIMAT0000064	17317	46622	45736	8830	66504	15249	7969	5333	10317	37049	28947	9430	14735	21259	15256	1936	669	30337	102989	2400	43871	2142	4587	17358	5137	11617	11581	27496	4735	46796	33849	10043	21763	7369	14438	3739	3398	50430	16930	26551	11238	9925	79106	39854	52919	58283	5328	13311	2507	17172	26581	833	4241	4855	54263	1290
hsa-let-7d-5p|MIMAT0000065	307	449	457	263	1318	507	165	94	1362	175	1147	956	336	1235	214	178	934	1123	1970	138	644	35	1713	1255	186	1280	296	2394	325	1466	969	568	1112	401	593	177	913	2954	725	364	615	1094	1839	514	1395	1163	504	943	195	934	426	991	310	605	1180	1222
hsa-let-7d-3p|MIMAT0004484	371	655	677	544	2037	1059	302	174	1207	549	1904	2528	285	1120	394	320	2171	2847	2746	253	832	64	1274	1907	503	3018	778	2075	1047	3167	1347	1070	844	562	1019	211	2270	3178	884	1046	643	2398	2818	735	2097	978	2295	2131	343	1395	1411	1267	365	1487	1331	1907
hsa-let-7e-5p|MIMAT0000066	3104	7360	15793	3821	7589	2383	4840	5243	10198	4131	8186	13965	4464	6670	3809	3357	4699	5271	6343	6179	6296	1894	5529	3634	8634	8247	6846	8167	3650	9241	9258	7700	5981	7079	6561	1463	14867	6557	10087	3146	6733	5168	11254	20271	8263	13599	3035	6993	6562	11899	3093	3722	4304	3000	8167	13050
hsa-let-7e-3p|MIMAT0004485	114	280	259	83	252	84	150	226	200	103	231	335	209	114	138	139	134	480	110	231	242	75	149	105	237	219	326	100	135	233	247	134	200	317	417	20	248	259	290	71	183	155	498	627	139	299	130	318	163	453	141	72	94	56	111	136
