Gene	TCGA-RZ-AB0B-01A-11R-A40B-13	TCGA-V3-A9ZX-01A-11R-A40B-13	TCGA-V3-A9ZY-01A-11R-A40B-13	TCGA-V4-A9E5-01A-11R-A40B-13	TCGA-V4-A9E7-01A-11R-A40B-13	TCGA-V4-A9E8-01A-11R-A40B-13	TCGA-V4-A9E9-01A-11R-A40B-13	TCGA-V4-A9EA-01A-11R-A40B-13	TCGA-V4-A9EC-01A-11R-A40B-13	TCGA-V4-A9ED-01A-11R-A40B-13	TCGA-V4-A9EE-01A-11R-A40B-13	TCGA-V4-A9EF-01A-21R-A40B-13	TCGA-V4-A9EH-01A-11R-A40B-13	TCGA-V4-A9EI-01A-11R-A40B-13	TCGA-V4-A9EJ-01A-11R-A40B-13	TCGA-V4-A9EK-01A-11R-A40B-13	TCGA-V4-A9EL-01A-11R-A40B-13	TCGA-V4-A9EM-01A-11R-A40B-13	TCGA-V4-A9EO-01A-12R-A40B-13	TCGA-V4-A9EQ-01A-11R-A40B-13	TCGA-V4-A9ES-01A-11R-A40B-13	TCGA-V4-A9ET-01A-11R-A40B-13	TCGA-V4-A9EU-01A-11R-A40B-13	TCGA-V4-A9EV-01A-11R-A40B-13	TCGA-V4-A9EW-01A-11R-A40B-13	TCGA-V4-A9EX-01A-11R-A40B-13	TCGA-V4-A9EY-01A-11R-A40B-13	TCGA-V4-A9EZ-01A-11R-A40B-13	TCGA-V4-A9F0-01A-11R-A40B-13	TCGA-V4-A9F1-01A-11R-A40B-13	TCGA-V4-A9F2-01A-11R-A40B-13	TCGA-V4-A9F3-01A-11R-A40B-13	TCGA-V4-A9F4-01A-11R-A40B-13	TCGA-V4-A9F5-01A-11R-A40B-13	TCGA-V4-A9F7-01A-11R-A40B-13	TCGA-V4-A9F8-01A-11R-A40B-13	TCGA-VD-A8K7-01B-11R-A40B-13	TCGA-VD-A8K8-01A-11R-A40B-13	TCGA-VD-A8K9-01A-11R-A40B-13	TCGA-VD-A8KA-01B-11R-A40B-13	TCGA-VD-A8KB-01A-11R-A40B-13	TCGA-VD-A8KD-01A-11R-A40B-13	TCGA-VD-A8KE-01A-11R-A40B-13	TCGA-VD-A8KF-01A-11R-A40B-13	TCGA-VD-A8KG-01A-11R-A40B-13	TCGA-VD-A8KH-01A-11R-A40B-13	TCGA-VD-A8KI-01A-11R-A40B-13	TCGA-VD-A8KJ-01A-11R-A40B-13	TCGA-VD-A8KK-01A-11R-A40B-13	TCGA-VD-A8KL-01A-11R-A40B-13	TCGA-VD-A8KM-01A-11R-A40B-13	TCGA-VD-A8KN-01A-11R-A40B-13	TCGA-VD-A8KO-01A-11R-A40B-13	TCGA-VD-AA8M-01A-11R-A40B-13	TCGA-VD-AA8N-01A-11R-A40B-13	TCGA-VD-AA8O-01A-11R-A40B-13	TCGA-VD-AA8P-01A-11R-A40B-13	TCGA-VD-AA8Q-01A-11R-A40B-13	TCGA-VD-AA8R-01A-11R-A40B-13	TCGA-VD-AA8S-01B-11R-A40B-13	TCGA-VD-AA8T-01A-11R-A40B-13	TCGA-WC-A87T-01A-11R-A40B-13	TCGA-WC-A87U-01A-11R-A40B-13	TCGA-WC-A87W-01A-11R-A40B-13	TCGA-WC-A87Y-01A-11R-A40B-13	TCGA-WC-A880-01A-11R-A40B-13	TCGA-WC-A881-01A-12R-A40B-13	TCGA-WC-A882-01A-11R-A40B-13	TCGA-WC-A883-01A-12R-A40B-13	TCGA-WC-A884-01A-11R-A40B-13	TCGA-WC-A885-01A-11R-A40B-13	TCGA-WC-A888-01A-11R-A40B-13	TCGA-WC-A88A-01A-11R-A40B-13	TCGA-WC-AA9A-01A-11R-A40B-13	TCGA-WC-AA9E-01A-11R-A40B-13	TCGA-YZ-A980-01A-11R-A40B-13	TCGA-YZ-A982-01A-11R-A40B-13	TCGA-YZ-A983-01A-11R-A40B-13	TCGA-YZ-A984-01A-11R-A40B-13	TCGA-YZ-A985-01A-11R-A40B-13
hsa-let-7a-5p|MIMAT0000062	1135612	349211	198567	324719	1123612	592482	675049	162536	502058	298270	411224	358725	490526	188681	543022	210501	515847	399744	277510	1690859	616709	515781	390012	1046777	382082	350815	326570	355835	322941	295342	428911	890649	529365	304091	806589	737797	427731	338056	1479929	581537	467581	518733	755059	273554	228570	402704	1002428	264690	308455	763577	986000	550177	145318	910285	588287	318599	424393	466346	183484	619730	409689	568058	170185	485907	1028792	618873	268952	351400	1197914	593569	515369	326198	520804	245411	265060	358180	497338	123972	349616	280686
hsa-let-7a-3p|MIMAT0004481	184	23	24	45	99	24	55	6	69	43	107	38	18	43	34	22	69	14	33	129	91	35	109	121	94	128	28	29	131	110	50	65	65	113	44	115	35	384	260	42	218	450	96	242	28	159	109	44	96	110	63	54	21	70	140	93	129	70	53	92	119	10	33	43	181	42	25	39	67	65	64	237	111	102	61	54	53	19	36	35
hsa-let-7a-2-3p|MIMAT0010195	7	7	2	3	1	2	4	1	5	8	9	2	6	3	8	5	2	5	4	NA	NA	10	3	2	24	1	1	NA	6	7	12	8	30	NA	4	3	33	1	12	8	11	6	11	7	3	16	2	14	2	3	11	10	12	7	4	3	10	11	17	19	3	2	21	22	24	3	3	4	9	18	13	11	1	NA	NA	23	1	NA	14	NA
hsa-let-7b-5p|MIMAT0000063	357794	126324	43959	84687	329887	340278	238214	78676	68888	114667	232397	210013	118004	97522	83128	36684	182069	121895	112024	440057	72867	193147	125492	291070	134550	160173	55441	57195	161478	69470	236567	246604	165161	120478	84029	313196	74825	115253	187763	112180	103260	245985	61985	78231	43293	88370	292544	70603	97761	351299	311310	185132	23370	114466	189503	141861	311531	87578	35625	69295	170726	36203	21798	168289	230450	77449	141680	84800	351031	132577	86410	121818	130811	133929	45325	185890	219903	26395	153318	148034
hsa-let-7b-3p|MIMAT0004482	192	38	23	33	110	69	66	24	54	58	182	56	52	57	28	18	80	54	46	171	89	107	151	328	146	102	10	19	122	81	153	261	142	157	29	98	62	195	78	79	88	341	36	149	14	81	89	24	49	69	147	107	19	38	136	157	171	50	20	31	98	15	13	90	255	22	147	21	185	42	21	113	63	144	51	84	49	10	59	52
hsa-let-7c-5p|MIMAT0000064	47755	9028	31561	59899	8976	43036	56220	21755	61322	90529	22510	25232	29594	8713	40529	29638	9975	35113	118437	23186	14065	48333	10535	18862	39253	21784	59132	26985	19677	18400	102520	82674	107856	11523	56996	88419	55788	4391	137121	59910	61857	19787	27510	11274	52121	10997	88503	40750	12941	75936	34932	116963	16620	102819	13500	4490	51877	71899	42602	87117	86475	68476	31844	87092	90047	35208	32163	51878	19704	114082	40921	12607	9595	2430	48163	51956	62078	7403	83970	69700
hsa-let-7d-5p|MIMAT0000065	4358	2235	1418	2504	5626	2676	8274	1948	4052	3676	2487	2722	2704	1998	4838	3658	3803	4356	1588	5048	3692	4248	3288	5709	3191	3156	2405	1651	2679	3332	2622	3646	4606	1888	3592	2594	4429	2806	7569	3065	4716	2875	3052	1799	2494	3943	4942	3869	3902	1760	4610	4262	1621	3341	2538	2765	2725	2470	2119	5179	2638	3673	1771	3118	6630	3147	1499	2302	6133	2941	5654	3577	2568	1531	1204	2894	1590	623	2301	2532
hsa-let-7d-3p|MIMAT0004484	7725	3745	5607	6723	5738	3312	15904	3390	9580	7237	6034	4562	4924	5125	14350	6612	5931	9863	2603	6444	9745	12888	6246	8571	11426	6824	5528	2820	4812	7245	3468	4510	18352	3694	8662	4340	8239	5633	17220	7476	17326	5856	7015	8635	5686	9641	8931	10609	8709	2564	4764	8695	3683	6695	6030	6094	9387	4524	12261	17484	4148	10061	6377	6660	9086	8929	4800	4992	7085	5490	16207	7177	5502	3816	3022	4214	3670	3554	4577	4233
hsa-let-7e-5p|MIMAT0000066	61793	14046	8379	8213	25064	21954	23317	3961	10264	17883	29656	14145	21279	9678	20479	4583	19401	35403	16830	65358	30525	13383	18206	75452	11519	17513	11662	7153	9662	18502	17333	72068	17701	11227	22525	23615	16436	21440	56140	22642	17564	16053	20524	12947	8009	27546	48069	10529	15876	18724	39699	40255	1699	33111	20184	17942	12830	24639	10032	9753	16453	37567	7875	19804	75819	8083	8325	13890	57474	19147	12152	15831	12508	6690	4795	17913	11792	2502	16414	11642
hsa-let-7e-3p|MIMAT0004485	119	29	32	60	68	75	156	23	43	144	74	43	70	49	118	43	84	82	45	70	83	82	71	83	64	46	75	16	42	67	57	139	128	69	50	56	136	131	124	72	152	74	85	100	39	147	65	75	75	28	39	133	14	80	57	60	114	79	104	94	75	90	66	102	236	20	45	78	55	80	69	81	26	29	20	84	37	13	77	77
hsa-let-7f-5p|MIMAT0000067	235168	90275	57404	62748	204529	53564	69001	12115	140120	50967	61992	58427	107803	26261	127764	50721	91680	92641	57359	403547	144713	93680	66595	264201	68629	64741	79399	115627	57816	78641	59698	216680	98484	41427	280623	174728	106299	92009	718422	129450	158940	99197	403094	81531	80451	109986	305957	78877	82880	168536	262517	124590	38458	377004	113369	76257	58328	185718	56377	216341	85594	241213	59050	117588	324244	254455	36385	134096	252828	222339	131829	84647	141816	42251	55968	62296	131207	33893	67639	47401
hsa-let-7f-1-3p|MIMAT0004486	12	3	2	4	3	1	10	3	16	7	8	2	12	3	4	5	6	14	6	14	11	7	15	25	3	5	6	2	2	10	4	16	11	7	11	7	13	35	33	4	23	32	15	10	5	22	10	4	6	6	11	9	2	21	10	19	14	6	11	9	10	15	3	6	25	9	6	3	13	2	3	13	4	8	3	2	3	2	3	3
hsa-let-7f-2-3p|MIMAT0004487	1	1	1	NA	3	1	NA	NA	3	NA	1	NA	NA	1	NA	3	NA	2	NA	NA	NA	3	3	6	1	2	NA	NA	1	3	NA	1	1	2	1	NA	NA	4	8	NA	6	18	3	NA	NA	1	2	1	NA	1	1	NA	1	NA	1	1	3	1	1	2	NA	NA	NA	1	2	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-15a-5p|MIMAT0000068	3557	367	340	487	1971	437	126	37	1307	494	1900	324	308	392	495	219	1092	150	1193	6870	1875	776	2721	4393	591	742	316	510	919	1151	2639	2282	753	1598	2497	1857	925	5289	3221	851	2161	4775	3876	3308	175	1553	454	351	887	924	2500	891	700	2634	1966	1633	1902	1751	689	1575	2059	2470	624	1217	3231	745	237	342	5833	1234	269	1189	839	1111	529	498	1018	216	437	268
hsa-miR-15a-3p|MIMAT0004488	NA	1	NA	NA	1	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	3	4	4	2	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	1
hsa-miR-16-5p|MIMAT0000069	3839	731	1008	1841	3304	782	1432	350	3198	1870	3311	1086	1343	1104	2000	1194	2228	993	1629	5951	2935	2776	3880	5366	2429	1832	812	1347	2758	1495	3134	2718	3645	3007	2202	4813	4007	8063	7752	2738	6894	11465	3634	5561	595	2849	859	1156	2883	1616	4524	2865	1464	4579	2525	4950	4172	3081	1782	3830	4148	2712	1594	3762	3853	1563	1386	868	9267	2440	2170	3454	2005	5339	1721	1172	1926	504	1333	1174
hsa-miR-16-1-3p|MIMAT0004489	22	11	13	3	23	10	3	5	15	8	7	5	10	8	6	4	12	7	11	37	11	15	17	64	8	13	7	11	8	10	21	36	7	12	22	43	19	110	53	9	73	127	36	58	NA	17	9	6	10	23	20	10	8	20	34	34	21	23	10	13	28	13	12	14	26	9	3	5	26	20	4	13	6	8	4	8	25	2	17	23
hsa-miR-17-5p|MIMAT0000070	12979	1931	2268	5970	10257	2171	1151	369	7329	2654	9300	2637	1866	3975	2210	2407	3311	1843	6793	22187	6129	7308	7091	10666	4776	6467	1827	4763	3943	4940	8343	7960	9956	6630	11082	11718	4470	16040	29422	7273	20574	10554	13301	11394	2445	7914	3629	3814	4517	4880	5756	4390	4806	8767	9821	3695	10251	6461	4066	8064	5779	8981	2773	5895	9202	4473	5124	1959	17247	4609	2541	4062	4550	5804	8064	1622	8602	1539	2590	2300
hsa-miR-17-3p|MIMAT0000071	9230	5443	4062	2653	7313	4974	7682	3067	10471	3884	3988	5762	4331	2922	3789	2452	3748	7544	5054	9635	2499	9238	2574	8173	4355	5344	3145	3281	2023	1847	6560	7105	11073	3570	10570	5283	8037	8143	60158	5617	20436	11076	13251	6646	1634	1962	6035	3706	3578	3875	2103	2715	3079	9374	8960	4758	6521	5053	2417	3485	3567	6793	3225	4651	5261	4711	4719	4440	6150	5164	5713	2903	5146	2727	5768	2183	7661	1909	4264	7976
hsa-miR-18a-5p|MIMAT0000072	53	5	3	13	16	4	1	2	18	4	42	1	2	10	6	7	9	2	16	68	17	20	30	62	10	19	3	13	7	21	37	37	30	17	15	17	15	150	287	41	136	86	54	40	1	34	5	6	12	7	24	11	5	16	33	17	30	15	13	15	11	28	7	22	43	5	15	5	190	7	3	13	8	15	18	4	15	3	7	4
hsa-miR-18a-3p|MIMAT0002891	14	6	9	9	21	13	38	7	13	15	24	13	11	15	14	3	11	14	8	15	9	11	8	21	14	9	7	8	14	11	9	7	23	9	22	20	4	16	47	19	37	8	9	14	8	14	28	12	21	15	12	25	6	11	8	22	12	10	10	10	14	13	7	7	22	13	21	5	59	6	23	12	9	12	20	6	9	7	4	11
hsa-miR-19a-5p|MIMAT0004490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
